,背番号,名前,年俸,打率,試合数,打席数,打数,安打,二塁打,三塁打,本塁打,塁打数,得点,打点,三振,四球,死球,盗塁,出塁率,長打率,OPS,三振率,チーム
0,00,曽根海成,800,0.25,33.0,17.0,16.0,4.0,1.0,0.0,0.0,5.0,13.0,1.0,5.0,1.0,0.0,5.0,0.294,0.312,0.607,0.294,広島
1,0,上本崇司,900,0.212,56.0,62.0,52.0,11.0,2.0,0.0,0.0,13.0,8.0,4.0,4.0,5.0,2.0,2.0,0.305,0.25,0.555,0.065,広島
2,1,鈴木誠也,28000,0.3,118.0,514.0,430.0,129.0,26.0,2.0,25.0,234.0,85.0,75.0,73.0,72.0,9.0,6.0,0.409,0.544,0.953,0.142,広島
3,2,田中広輔,15000,0.251,112.0,454.0,378.0,95.0,11.0,5.0,8.0,140.0,51.0,39.0,86.0,55.0,5.0,8.0,0.351,0.37,0.721,0.189,広島
4,4,小窪哲也,2900,0.333,3.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.667,0.0,広島
5,5,長野久義,17000,0.285,95.0,299.0,267.0,76.0,17.0,1.0,10.0,125.0,30.0,42.0,61.0,29.0,1.0,1.0,0.355,0.468,0.823,0.204,広島
6,6,安部友裕,4300,0.184,26.0,44.0,38.0,7.0,3.0,0.0,0.0,10.0,6.0,2.0,17.0,4.0,0.0,0.0,0.262,0.263,0.525,0.386,広島
7,7,堂林翔太,1600,0.279,111.0,451.0,401.0,112.0,21.0,0.0,14.0,175.0,55.0,58.0,91.0,41.0,4.0,17.0,0.35,0.436,0.787,0.202,広島
8,10,ピレラ,6490,0.266,99.0,337.0,316.0,84.0,9.0,2.0,11.0,130.0,47.0,34.0,53.0,19.0,2.0,2.0,0.312,0.411,0.723,0.157,広島
9,22,中村奨成,700,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,広島
10,27,會澤翼,18000,0.266,79.0,263.0,229.0,61.0,13.0,0.0,7.0,95.0,25.0,36.0,51.0,22.0,11.0,2.0,0.359,0.415,0.774,0.194,広島
11,31,石原慶幸,5500,0.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,広島
12,32,白濱裕太,650,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,広島
13,33,菊池涼介,30000,0.271,106.0,429.0,376.0,102.0,19.0,4.0,10.0,159.0,43.0,41.0,68.0,35.0,1.0,3.0,0.334,0.423,0.757,0.159,広島
14,35,三好匠,1200,0.125,62.0,29.0,24.0,3.0,0.0,0.0,0.0,3.0,3.0,2.0,5.0,2.0,0.0,0.0,0.185,0.125,0.31,0.172,広島
15,37,野間峻祥,3400,0.24,70.0,56.0,50.0,12.0,0.0,0.0,0.0,12.0,10.0,1.0,17.0,4.0,0.0,2.0,0.296,0.24,0.536,0.304,広島
16,38,宇草孔基,1200,0.256,13.0,47.0,43.0,11.0,1.0,1.0,0.0,14.0,5.0,3.0,7.0,3.0,1.0,3.0,0.319,0.326,0.645,0.149,広島
