,背番号,名前,年俸,防御率,試合数,勝利,敗戦,投球回数,勝率,完投,完封,セーブ,ホールド,奪三振,奪三振率,失点,自責点,被安打,被本塁打,与四球,与死球,与四球率,チーム
0,11,九里亜蓮,14000,3.33,26.0,6.0,9.0,,0.4,0.0,0.0,0.0,0.0,121.0,7.76,55.0,52.0,147.0,13.0,53.0,8.0,3.4,広島
1,12,大道温貴,1500,6.75,3.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,9.0,9.0,16.0,5.0,3.0,1.0,2.25,広島
2,13,森浦大輔,2200,3.3,51.0,3.0,6.0,,0.333,0.0,0.0,0.0,24.0,48.0,9.32,17.0,17.0,47.0,4.0,16.0,3.0,3.11,広島
3,14,大瀬良大地,18000,4.72,23.0,8.0,9.0,,0.471,3.0,2.0,0.0,0.0,97.0,6.45,73.0,71.0,156.0,18.0,27.0,2.0,1.8,広島
4,16,森翔平,1200,1.89,8.0,1.0,0.0,19.0,1.0,0.0,0.0,0.0,1.0,10.0,4.74,5.0,4.0,22.0,1.0,8.0,1.0,3.79,広島
5,17,岡田明丈,2300,,,,,,,,,,,,,,,,,,,,広島
6,18,森下暢仁,7500,3.17,27.0,10.0,8.0,,0.556,3.0,2.0,0.0,0.0,133.0,6.7,67.0,63.0,195.0,13.0,44.0,8.0,2.22,広島
7,19,野村祐輔,7200,5.23,9.0,2.0,3.0,,0.4,0.0,0.0,0.0,0.0,18.0,3.92,27.0,24.0,55.0,4.0,14.0,0.0,3.05,広島
8,20,栗林良吏,5300,1.49,48.0,0.0,2.0,,0.0,0.0,0.0,31.0,6.0,59.0,10.99,8.0,8.0,22.0,0.0,15.0,2.0,2.79,広島
9,21,中崎翔太,6600,6.46,28.0,2.0,5.0,,0.286,0.0,0.0,0.0,7.0,18.0,6.85,19.0,17.0,27.0,6.0,10.0,1.0,3.8,広島
10,23,薮田和樹,1900,4.12,18.0,1.0,0.0,24.0,1.0,0.0,0.0,0.0,1.0,16.0,6.0,11.0,11.0,19.0,2.0,14.0,1.0,5.25,広島
11,24,黒原拓未,1500,6.52,12.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,11.0,10.24,7.0,7.0,11.0,0.0,4.0,1.0,3.72,広島
12,26,中田廉,1800,,,,,,,,,,,,,,,,,,,,広島
13,28,床田寛樹,3300,2.84,17.0,8.0,6.0,114.0,0.571,1.0,1.0,0.0,0.0,74.0,5.84,36.0,36.0,87.0,10.0,28.0,4.0,2.21,広島
14,29,ケムナ誠,1900,3.2,43.0,4.0,0.0,,1.0,0.0,0.0,0.0,14.0,37.0,8.47,21.0,14.0,37.0,1.0,18.0,3.0,4.12,広島
15,30,一岡竜司,4200,2.08,10.0,1.0,0.0,,1.0,0.0,0.0,0.0,1.0,7.0,7.27,2.0,2.0,15.0,0.0,1.0,0.0,1.04,広島
16,34,高橋昂也,1200,,,,,,,,,,,,,,,,,,,,広島
17,36,塹江敦哉,2100,3.12,26.0,3.0,2.0,,0.6,0.0,0.0,0.0,6.0,8.0,4.15,6.0,6.0,13.0,1.0,8.0,1.0,4.15,広島
18,39,菊池保則,2900,5.62,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,6.0,6.75,5.0,5.0,10.0,2.0,4.0,1.0,4.5,広島
19,41,矢崎拓也,800,1.82,47.0,2.0,0.0,,1.0,0.0,0.0,1.0,17.0,51.0,9.3,12.0,10.0,35.0,2.0,25.0,0.0,4.56,広島
20,42,ドリュー・アンダーソン,7700,3.6,13.0,3.0,4.0,70.0,0.429,0.0,0.0,0.0,0.0,59.0,7.59,32.0,28.0,61.0,9.0,23.0,3.0,2.96,広島
21,43,島内颯太郎,2400,3.79,22.0,0.0,3.0,19.0,0.0,0.0,0.0,0.0,7.0,20.0,9.47,13.0,8.0,21.0,2.0,11.0,1.0,5.21,広島
22,45,松本竜也,770,3.56,50.0,4.0,2.0,,0.667,0.0,0.0,0.0,4.0,54.0,8.73,23.0,22.0,58.0,5.0,15.0,3.0,2.43,広島
23,46,高橋樹也,1250,,,,,,,,,,,,,,,,,,,,広島
24,47,山口翔,650,,,,,,,,,,,,,,,,,,,,広島
25,48,アドゥワ誠,1250,,,,,,,,,,,,,,,,,,,,広島
26,53,小林樹斗,500,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,9.0,広島
27,57,田中法彦,500,,,,,,,,,,,,,,,,,,,,広島
28,58,藤井黎來,500,3.86,12.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,15.0,9.64,6.0,6.0,10.0,1.0,9.0,1.0,5.79,広島
29,65,玉村昇悟,1200,3.92,9.0,2.0,2.0,,0.5,0.0,0.0,0.0,0.0,21.0,4.33,19.0,19.0,46.0,2.0,13.0,1.0,2.68,広島
30,66,遠藤淳志,2000,3.59,20.0,4.0,7.0,,0.364,0.0,0.0,0.0,0.0,78.0,6.66,47.0,42.0,104.0,17.0,18.0,3.0,1.54,広島
31,67,中村祐太,1300,,,,,,,,,,,,,,,,,,,,広島
32,68,ニック・ターリー,7300,3.11,45.0,2.0,4.0,,0.333,0.0,0.0,0.0,14.0,32.0,7.65,14.0,13.0,26.0,7.0,16.0,2.0,3.82,広島
33,97,ヘロニモ・フランスア,3980,8.1,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,4.0,10.8,3.0,3.0,2.0,0.0,5.0,1.0,13.5,広島
34,98,ロベルト・コルニエル,870,3.52,12.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,19.0,11.15,6.0,6.0,15.0,2.0,4.0,1.0,2.35,広島
35,120,行木俊,400,,,,,,,,,,,,,,,,,,,,広島
36,122,坂田怜,300,,,,,,,,,,,,,,,,,,,,広島
37,125,戸田隆矢,450,,,,,,,,,,,,,,,,,,,,広島
38,126,新家颯,250,,,,,,,,,,,,,,,,,,,,広島
39,128,中村来生,250,,,,,,,,,,,,,,,,,,,,広島
40,002,ダニエル・ミサキ,440,,,,,,,,,,,,,,,,,,,,巨人
41,11,平内龍太,1450,4.32,53.0,4.0,4.0,50.0,0.5,0.0,0.0,0.0,13.0,39.0,7.02,26.0,24.0,53.0,4.0,13.0,3.0,2.34,巨人
42,011,笠島尚樹,370,,,,,,,,,,,,,,,,,,,,巨人
43,12,ルビー・デラロサ,18150,2.3,30.0,0.0,0.0,,0.0,0.0,0.0,1.0,11.0,24.0,7.9,9.0,7.0,18.0,2.0,10.0,2.0,3.29,巨人
44,014,京本眞,360,,,,,,,,,,,,,,,,,,,,巨人
45,15,大勢,1600,2.05,57.0,1.0,3.0,57.0,0.25,0.0,0.0,37.0,8.0,60.0,9.47,17.0,13.0,38.0,7.0,13.0,3.0,2.05,巨人
46,015,川嵜陽仁,360,,,,,,,,,,,,,,,,,,,,巨人
47,016,高田竜星,400,,,,,,,,,,,,,,,,,,,,巨人
48,17,山口俊,6000,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,18.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,巨人
49,017,奈良木陸,360,,,,,,,,,,,,,,,,,,,,巨人
50,18,菅野智之,60000,3.12,23.0,10.0,7.0,147.0,0.588,0.0,0.0,0.0,0.0,104.0,6.37,52.0,51.0,138.0,15.0,26.0,6.0,1.59,巨人
51,018,木下幹也,370,,,,,,,,,,,,,,,,,,,,巨人
52,19,山崎伊織,1200,3.14,20.0,5.0,5.0,,0.5,0.0,0.0,0.0,1.0,55.0,5.09,37.0,34.0,95.0,6.0,20.0,9.0,1.85,巨人
53,20,戸郷翔征,4000,2.62,25.0,12.0,8.0,,0.6,3.0,1.0,0.0,0.0,154.0,8.07,52.0,50.0,146.0,11.0,51.0,8.0,2.67,巨人
54,21,井納翔一,10000,1.8,7.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,4.0,7.2,1.0,1.0,5.0,0.0,2.0,0.0,3.6,巨人
55,26,今村信貴,3000,3.57,55.0,2.0,4.0,53.0,0.333,0.0,0.0,0.0,21.0,34.0,5.77,24.0,21.0,45.0,3.0,22.0,4.0,3.74,巨人
56,28,山田龍聖,1200,,,,,,,,,,,,,,,,,,,,巨人
57,028,富田龍,400,,,,,,,,,,,,,,,,,,,,巨人
58,29,マット・アンドリース,22700,4.82,5.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,18.0,8.68,11.0,10.0,28.0,3.0,4.0,1.0,1.93,巨人
59,30,鍵谷陽平,7500,3.71,21.0,2.0,0.0,17.0,1.0,0.0,0.0,0.0,3.0,9.0,4.76,8.0,7.0,21.0,4.0,5.0,0.0,2.65,巨人
60,030,山崎友輔,410,,,,,,,,,,,,,,,,,,,,巨人
61,31,赤星優志,1000,4.04,31.0,5.0,5.0,78.0,0.5,0.0,0.0,0.0,5.0,52.0,6.0,50.0,35.0,81.0,8.0,32.0,4.0,3.69,巨人
62,33,太田龍,880,,,,,,,,,,,,,,,,,,,,巨人
63,35,桜井俊貴,2160,14.04,8.0,2.0,0.0,,1.0,0.0,0.0,0.0,0.0,9.0,9.72,13.0,13.0,13.0,3.0,6.0,2.0,6.48,巨人
64,040,谷岡竜平,835,,,,,,,,,,,,,,,,,,,,巨人
65,41,中川皓太,9000,,,,,,,,,,,,,,,,,,,,巨人
66,42,C.C.メルセデス,4950,3.18,20.0,5.0,7.0,,0.417,0.0,0.0,0.0,0.0,74.0,6.04,44.0,39.0,107.0,7.0,31.0,3.0,2.53,巨人
67,45,畠世周,3630,3.14,27.0,3.0,0.0,,1.0,0.0,0.0,1.0,5.0,22.0,6.91,11.0,10.0,22.0,3.0,14.0,0.0,4.4,巨人
68,46,鍬原拓也,1060,5.16,49.0,3.0,2.0,,0.6,0.0,0.0,0.0,13.0,30.0,5.96,26.0,26.0,50.0,3.0,12.0,1.0,2.38,巨人
69,046,與那原大剛,410,,,,,,,,,,,,,,,,,,,,巨人
70,47,高橋優貴,3600,5.4,10.0,1.0,5.0,,0.167,0.0,0.0,0.0,0.0,21.0,7.09,20.0,16.0,34.0,1.0,18.0,0.0,6.08,巨人
71,047,鴨打瑛二,360,,,,,,,,,,,,,,,,,,,,巨人
72,49,チアゴ・ビエイラ,14300,9.82,9.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,8.0,9.82,9.0,8.0,9.0,3.0,8.0,1.0,9.82,巨人
73,50,戸根千明,2100,5.02,9.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,9.0,5.65,8.0,8.0,16.0,4.0,3.0,1.0,1.88,巨人
74,051,阿部剣友,370,,,,,,,,,,,,,,,,,,,,巨人
75,53,高梨雄平,7800,2.14,59.0,2.0,0.0,,1.0,0.0,0.0,0.0,25.0,44.0,8.55,13.0,11.0,32.0,1.0,19.0,4.0,3.69,巨人
76,54,直江大輔,760,3.38,9.0,1.0,1.0,,0.5,0.0,0.0,0.0,0.0,16.0,7.71,9.0,7.0,12.0,2.0,8.0,3.0,3.86,巨人
77,56,石田隼都,600,,,,,,,,,,,,,,,,,,,,巨人
78,056,伊藤優輔,900,,,,,,,,,,,,,,,,,,,,巨人
79,57,高木京介,2000,2.79,17.0,0.0,1.0,,0.0,0.0,0.0,0.0,2.0,13.0,6.05,9.0,6.0,19.0,1.0,8.0,0.0,3.72,巨人
80,58,山本一輝,690,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,4.5,巨人
81,059,田中豊樹,1900,,,,,,,,,,,,,,,,,,,,巨人
82,62,横川凱,650,15.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,7.0,0.0,1.0,0.0,3.0,巨人
83,63,花田侑樹,500,,,,,,,,,,,,,,,,,,,,巨人
84,64,大江竜聖,2800,1.69,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,5.0,8.44,2.0,1.0,5.0,1.0,3.0,1.0,5.06,巨人
85,65,イアン・クロール,3500,3.86,21.0,1.0,1.0,21.0,0.5,0.0,0.0,1.0,5.0,15.0,6.43,10.0,9.0,17.0,1.0,10.0,1.0,4.29,巨人
86,68,代木大和,540,,,,,,,,,,,,,,,,,,,,巨人
87,068,鈴木優,500,,,,,,,,,,,,,,,,,,,,巨人
88,90,戸田懐生,520,6.55,14.0,1.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,15.0,6.14,17.0,16.0,33.0,6.0,6.0,1.0,2.45,巨人
89,91,堀田賢慎,580,6.29,8.0,2.0,3.0,,0.4,0.0,0.0,0.0,0.0,24.0,6.29,24.0,24.0,38.0,5.0,16.0,1.0,4.19,巨人
90,092,沼田翔平,520,,,,,,,,,,,,,,,,,,,,巨人
91,095,堀岡隼人,670,,,,,,,,,,,,,,,,,,,,巨人
92,96,菊地大稀,400,5.6,16.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,21.0,10.7,13.0,11.0,16.0,2.0,13.0,1.0,6.62,巨人
93,97,井上温大,510,6.0,7.0,1.0,1.0,24.0,0.5,0.0,0.0,0.0,0.0,27.0,10.12,18.0,16.0,28.0,4.0,7.0,0.0,2.62,巨人
94,99,マット・シューメーカー,15000,4.25,18.0,4.0,8.0,,0.333,1.0,1.0,0.0,0.0,65.0,6.14,50.0,45.0,92.0,13.0,30.0,5.0,2.83,巨人
