,背番号,名前,年俸,打率,試合数,打席数,打数,安打,二塁打,三塁打,本塁打,塁打数,得点,打点,三振,四球,死球,盗塁,出塁率,長打率,OPS,三振率
0,00,林琢真,910,0.206,65.0,154.0,141.0,29.0,5.0,0.0,0.0,34.0,12.0,11.0,29.0,6.0,0.0,7.0,0.235,0.241,0.476,0.188
1,0,大田泰示,5000,0.217,75.0,186.0,175.0,38.0,12.0,0.0,4.0,62.0,18.0,15.0,49.0,9.0,2.0,0.0,0.263,0.354,0.618,0.263
2,1,桑原将志,12000,0.252,132.0,479.0,429.0,108.0,23.0,4.0,7.0,160.0,48.0,35.0,54.0,23.0,10.0,3.0,0.301,0.373,0.674,0.113
3,2,牧秀悟,12000,0.293,143.0,605.0,559.0,164.0,39.0,3.0,29.0,296.0,78.0,103.0,85.0,33.0,7.0,2.0,0.337,0.53,0.867,0.14
4,3,タイラー・オースティン,20000,0.277,22.0,54.0,47.0,13.0,6.0,0.0,0.0,19.0,5.0,6.0,13.0,6.0,0.0,0.0,0.352,0.404,0.756,0.241
5,5,松尾汐恩,1000,,,,,,,,,,,,,,,,,,,
6,6,森敬斗,2000,0.167,9.0,14.0,12.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.231,0.167,0.397,0.071
7,7,佐野恵太,17000,0.264,141.0,613.0,560.0,148.0,26.0,2.0,13.0,217.0,67.0,65.0,77.0,46.0,4.0,0.0,0.323,0.388,0.711,0.126
8,8,神里和毅,4500,0.163,64.0,53.0,49.0,8.0,1.0,1.0,0.0,11.0,11.0,3.0,16.0,3.0,1.0,0.0,0.226,0.224,0.451,0.302
9,9,大和,8000,0.235,88.0,230.0,213.0,50.0,4.0,0.0,0.0,54.0,12.0,18.0,23.0,14.0,0.0,1.0,0.282,0.254,0.535,0.1
10,10,戸柱恭孝,4000,0.242,70.0,181.0,165.0,40.0,8.0,1.0,5.0,65.0,11.0,19.0,30.0,13.0,0.0,0.0,0.296,0.394,0.69,0.166
11,23,藤田一也,1800,0.286,23.0,24.0,21.0,6.0,1.0,0.0,0.0,7.0,0.0,0.0,5.0,2.0,0.0,0.0,0.348,0.333,0.681,0.208
12,028,勝又温史,620,,,,,,,,,,,,,,,,,,,
13,29,伊藤光,11000,0.225,61.0,176.0,160.0,36.0,8.0,0.0,1.0,47.0,11.0,8.0,41.0,9.0,2.0,0.0,0.273,0.294,0.567,0.233
14,31,柴田竜拓,5600,0.143,86.0,66.0,49.0,7.0,1.0,1.0,0.0,10.0,7.0,2.0,9.0,9.0,2.0,0.0,0.3,0.204,0.504,0.136
15,32,益子京右,600,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,33,粟飯原龍之介,610,,,,,,,,,,,,,,,,,,,
17,37,楠本泰史,3600,0.191,94.0,176.0,157.0,30.0,9.0,0.0,2.0,45.0,14.0,21.0,35.0,11.0,3.0,0.0,0.253,0.287,0.539,0.199
18,38,田中俊太,1600,,,,,,,,,,,,,,,,,,,
19,39,西浦直亨,2600,0.111,13.0,9.0,9.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,0.111,0.111,0.222,0.444
20,42,アンバギー,3500,0.125,4.0,8.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.125,0.125,0.25,0.375
21,44,小深田大地,560,,,,,,,,,,,,,,,,,,,
22,50,山本祐大,1030,0.277,71.0,200.0,173.0,48.0,7.0,1.0,3.0,66.0,18.0,16.0,26.0,18.0,1.0,0.0,0.347,0.382,0.729,0.13
23,51,宮崎敏郎,20000,0.326,124.0,461.0,408.0,133.0,27.0,0.0,20.0,220.0,47.0,71.0,43.0,41.0,8.0,1.0,0.395,0.539,0.934,0.093
24,57,東妻純平,600,,,,,,,,,,,,,,,,,,,
25,58,梶原昂希,690,0.226,21.0,54.0,53.0,12.0,2.0,1.0,0.0,16.0,1.0,2.0,18.0,1.0,0.0,1.0,0.241,0.302,0.543,0.333
26,60,知野直人,910,0.167,39.0,39.0,30.0,5.0,1.0,0.0,2.0,12.0,9.0,5.0,9.0,7.0,1.0,2.0,0.342,0.4,0.742,0.231
27,61,蝦名達夫,1600,0.14,42.0,51.0,43.0,6.0,1.0,0.0,0.0,7.0,6.0,0.0,12.0,1.0,4.0,1.0,0.229,0.163,0.392,0.235
28,63,関根大気,3500,0.261,140.0,532.0,482.0,126.0,17.0,3.0,4.0,161.0,69.0,31.0,53.0,29.0,4.0,11.0,0.308,0.334,0.642,0.1
29,66,上甲凌大,340,,,,,,,,,,,,,,,,,,,
30,67,西巻賢二,600,0.0,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
31,98,京田陽太,5000,0.227,93.0,287.0,251.0,57.0,4.0,0.0,1.0,64.0,31.0,9.0,33.0,25.0,2.0,3.0,0.302,0.255,0.557,0.115
32,99,ネフタリ・ソト,27000,0.234,109.0,399.0,354.0,83.0,22.0,0.0,14.0,147.0,31.0,50.0,99.0,39.0,4.0,0.0,0.316,0.415,0.731,0.248
33,100,鈴木蓮,340,,,,,,,,,,,,,,,,,,,
34,103,村川凪,340,,,,,,,,,,,,,,,,,,,
35,104,東出直也,340,,,,,,,,,,,,,,,,,,,
36,105,大橋武尊,340,,,,,,,,,,,,,,,,,,,
