,背番号,名前,年俸,防御率,試合数,勝利,敗戦,投球回数,勝率,完投,完封,セーブ,ホールド,奪三振,奪三振率,失点,自責点,被安打,被本塁打,与四球,与死球,与四球率
0,11,東克樹,2610,1.98,24.0,16.0,3.0,,0.842,4.0,2.0,0.0,0.0,133.0,6.95,40.0,38.0,149.0,14.0,15.0,1.0,0.78
1,12,阪口皓亮,900,,,,,,,,,,,,,,,,,,,
2,13,伊勢大夢,9200,3.22,58.0,4.0,6.0,,0.4,0.0,0.0,2.0,33.0,43.0,7.69,21.0,18.0,54.0,6.0,16.0,0.0,2.86
3,14,石田健大,6200,3.97,23.0,4.0,9.0,118.0,0.308,0.0,0.0,0.0,0.0,99.0,7.55,56.0,52.0,127.0,12.0,30.0,5.0,2.29
4,15,徳山壮磨,1200,,,,,,,,,,,,,,,,,,,
5,16,大貫晋一,8800,2.95,13.0,5.0,4.0,,0.556,1.0,1.0,0.0,0.0,55.0,6.48,27.0,25.0,57.0,6.0,18.0,4.0,2.12
6,17,三嶋一輝,12000,4.84,27.0,3.0,1.0,,0.75,0.0,0.0,0.0,6.0,17.0,6.85,12.0,12.0,33.0,3.0,7.0,2.0,2.82
7,18,小園健太,1200,,,,,,,,,,,,,,,,,,,
8,19,山崎康晃,30000,4.37,49.0,3.0,7.0,,0.3,0.0,0.0,20.0,8.0,54.0,10.72,22.0,22.0,48.0,7.0,8.0,1.0,1.59
9,20,坂本裕哉,2300,5.76,13.0,0.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,13.0,4.68,16.0,16.0,27.0,2.0,12.0,2.0,4.32
10,21,今永昇太,14000,2.8,22.0,7.0,4.0,148.0,0.636,2.0,0.0,0.0,0.0,174.0,10.58,46.0,46.0,132.0,17.0,24.0,4.0,1.46
11,22,入江大生,4500,2.7,32.0,1.0,1.0,30.0,0.5,0.0,0.0,0.0,7.0,32.0,9.6,11.0,9.0,29.0,0.0,16.0,2.0,4.8
12,24,吉野光樹,1200,,,,,,,,,,,,,,,,,,,
