,背番号,名前,年俸,打率,試合数,打席数,打数,安打,二塁打,三塁打,本塁打,塁打数,得点,打点,三振,四球,死球,盗塁,出塁率,長打率,OPS,三振率
0,00,石岡諒太,700,,,,,,,,,,,,,,,,,,,
1,0,渡部遼人,900,0.171,32.0,52.0,41.0,7.0,2.0,0.0,0.0,9.0,7.0,1.0,7.0,8.0,0.0,2.0,0.3,0.22,0.52,0.135
2,1,福田周平,7500,0.191,36.0,114.0,94.0,18.0,1.0,0.0,0.0,19.0,6.0,5.0,15.0,15.0,1.0,5.0,0.306,0.202,0.508,0.132
3,2,若月健矢,4800,0.255,96.0,318.0,286.0,73.0,14.0,1.0,6.0,107.0,27.0,17.0,66.0,15.0,1.0,2.0,0.295,0.374,0.669,0.208
4,3,安達了一,7000,0.183,23.0,68.0,60.0,11.0,0.0,0.0,0.0,11.0,4.0,4.0,18.0,5.0,0.0,1.0,0.246,0.183,0.429,0.265
5,4,森友哉,21000,0.294,110.0,453.0,384.0,113.0,24.0,2.0,18.0,195.0,49.0,64.0,61.0,54.0,7.0,4.0,0.385,0.508,0.893,0.135
6,5,西野真弘,2400,0.197,43.0,138.0,122.0,24.0,6.0,0.0,0.0,30.0,5.0,8.0,9.0,11.0,0.0,0.0,0.263,0.246,0.509,0.065
7,6,宗佑磨,7800,0.245,122.0,478.0,428.0,105.0,17.0,3.0,2.0,134.0,38.0,22.0,55.0,36.0,4.0,1.0,0.309,0.313,0.622,0.115
8,8,マーウィン・ゴンザレス,18000,0.217,84.0,321.0,299.0,65.0,14.0,0.0,12.0,115.0,28.0,38.0,85.0,15.0,5.0,2.0,0.266,0.385,0.65,0.265
9,9,野口智哉,1500,0.226,76.0,257.0,226.0,51.0,11.0,3.0,2.0,74.0,19.0,19.0,70.0,21.0,5.0,4.0,0.306,0.327,0.633,0.272
10,10,大城滉二,2800,0.196,57.0,51.0,46.0,9.0,3.0,0.0,1.0,15.0,7.0,10.0,8.0,4.0,1.0,1.0,0.275,0.326,0.601,0.157
11,014,釣寿生,240,,,,,,,,,,,,,,,,,,,
12,020,山中尭之,240,,,,,,,,,,,,,,,,,,,
13,021,園部佳太,240,,,,,,,,,,,,,,,,,,,
14,23,フランク・シュウィンデル,9000,0.188,20.0,70.0,69.0,13.0,3.0,0.0,1.0,19.0,4.0,11.0,17.0,0.0,0.0,0.0,0.186,0.275,0.461,0.243
15,24,紅林弘太郎,4200,0.275,127.0,482.0,443.0,122.0,19.0,1.0,8.0,167.0,37.0,39.0,63.0,28.0,1.0,4.0,0.318,0.377,0.695,0.131
16,25,内藤鵬,600,,,,,,,,,,,,,,,,,,,
17,27,元謙太,700,,,,,,,,,,,,,,,,,,,
18,30,廣岡大志,1700,0.2,44.0,103.0,90.0,18.0,4.0,1.0,1.0,27.0,12.0,9.0,26.0,12.0,0.0,0.0,0.294,0.3,0.594,0.252
19,31,太田椋,1700,0.25,18.0,70.0,60.0,15.0,3.0,0.0,2.0,24.0,9.0,7.0,8.0,3.0,3.0,0.0,0.318,0.4,0.718,0.114
20,32,福永奨,950,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
21,33,杉澤龍,900,0.2,2.0,5.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2,0.2,0.4,0.4
22,034,村上喬一朗,240,,,,,,,,,,,,,,,,,,,
23,36,山足達也,2000,0.2,32.0,27.0,25.0,5.0,1.0,0.0,0.0,6.0,7.0,0.0,5.0,2.0,0.0,2.0,0.259,0.24,0.499,0.185
24,37,石川亮,1700,0.091,14.0,11.0,11.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.091,0.091,0.182,0.273
25,38,来田涼斗,800,0.0,4.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.091,0.0,0.091,0.545
26,39,池田陵真,550,0.206,12.0,39.0,34.0,7.0,1.0,0.0,0.0,8.0,4.0,0.0,9.0,4.0,1.0,1.0,0.308,0.235,0.543,0.231
27,40,レアンドロ・セデーニョ,4000,0.244,57.0,187.0,176.0,43.0,7.0,0.0,9.0,77.0,12.0,34.0,47.0,8.0,1.0,0.0,0.278,0.438,0.716,0.251
28,41,佐野皓大,2300,0.167,47.0,38.0,36.0,6.0,0.0,0.0,1.0,9.0,11.0,3.0,7.0,0.0,0.0,5.0,0.167,0.25,0.417,0.184
29,44,頓宮裕真,3500,0.307,113.0,451.0,401.0,123.0,23.0,0.0,16.0,194.0,49.0,49.0,69.0,41.0,6.0,0.0,0.378,0.484,0.862,0.153
30,49,渡邉大樹,1200,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
31,50,小田裕也,2500,0.29,77.0,68.0,62.0,18.0,5.0,0.0,1.0,26.0,15.0,8.0,15.0,2.0,2.0,5.0,0.333,0.419,0.753,0.221
32,53,宜保翔,900,0.279,62.0,162.0,147.0,41.0,5.0,0.0,0.0,46.0,14.0,9.0,25.0,6.0,1.0,1.0,0.31,0.313,0.623,0.154
33,55,Ｔ-岡田,7200,0.179,20.0,42.0,39.0,7.0,0.0,0.0,0.0,7.0,3.0,4.0,9.0,2.0,0.0,0.0,0.214,0.179,0.394,0.214
34,60,佐野如一,500,,,,,,,,,,,,,,,,,,,
35,61,茶野篤政,240,0.237,91.0,344.0,312.0,74.0,7.0,0.0,1.0,84.0,37.0,23.0,76.0,16.0,8.0,7.0,0.291,0.269,0.56,0.221
36,62,中川拓真,450,,,,,,,,,,,,,,,,,,,
37,64,大里昂生,240,0.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
38,67,中川圭太,6000,0.269,135.0,563.0,506.0,136.0,29.0,5.0,12.0,211.0,66.0,55.0,90.0,43.0,7.0,5.0,0.334,0.417,0.751,0.16
39,68,平野大和,250,0.2,4.0,5.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.2,0.2,0.4,0.4
40,99,杉本裕太郎,7200,0.242,96.0,370.0,339.0,82.0,12.0,1.0,16.0,144.0,34.0,41.0,101.0,19.0,9.0,0.0,0.298,0.425,0.723,0.273
41,124,上野響平,450,,,,,,,,,,,,,,,,,,,
