,背番号,名前,年俸,防御率,試合数,勝利,敗戦,投球回数,勝率,完投,完封,セーブ,ホールド,奪三振,奪三振率,失点,自責点,被安打,被本塁打,与四球,与死球,与四球率
0,001,佐藤一磨,250,,,,,,,,,,,,,,,,,,,
1,003,中田惟斗,250,,,,,,,,,,,,,,,,,,,
2,11,山崎福也,6000,3.25,23.0,11.0,5.0,,0.688,0.0,0.0,0.0,0.0,80.0,5.52,48.0,47.0,127.0,7.0,24.0,5.0,1.66
3,011,川瀬堅斗,240,,,,,,,,,,,,,,,,,,,
4,12,山下舜平大,700,1.61,16.0,9.0,3.0,95.0,0.75,0.0,0.0,0.0,0.0,101.0,9.57,21.0,17.0,71.0,2.0,30.0,4.0,2.84
5,012,辻垣高良,240,,,,,,,,,,,,,,,,,,,
6,13,宮城大弥,8000,2.27,22.0,10.0,4.0,,0.714,3.0,3.0,0.0,0.0,122.0,7.49,38.0,37.0,107.0,7.0,31.0,5.0,1.9
7,16,平野佳寿,22000,1.12,42.0,3.0,2.0,40.0,0.6,0.0,0.0,29.0,5.0,24.0,5.4,5.0,5.0,36.0,1.0,13.0,0.0,2.92
8,17,曽谷龍平,1600,3.86,10.0,1.0,2.0,,0.333,0.0,0.0,0.0,0.0,27.0,7.44,16.0,14.0,33.0,0.0,15.0,1.0,4.13
9,18,山本由伸,65000,1.21,23.0,16.0,6.0,164.0,0.727,2.0,1.0,0.0,0.0,169.0,9.27,27.0,22.0,117.0,2.0,28.0,6.0,1.54
10,19,山岡泰輔,7200,2.3,31.0,2.0,1.0,94.0,0.667,0.0,0.0,3.0,8.0,97.0,9.29,26.0,24.0,75.0,4.0,33.0,3.0,3.16
11,20,近藤大亮,4200,5.11,12.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,16.0,11.68,7.0,7.0,12.0,1.0,8.0,1.0,5.84
12,21,竹安大知,2100,10.38,2.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,1.0,2.08,5.0,5.0,12.0,0.0,3.0,1.0,6.23
13,22,村西良太,1700,6.17,7.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,6.0,4.63,8.0,8.0,11.0,1.0,5.0,1.0,3.86
14,26,齋藤響介,500,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,6.75,0.0,0.0,2.0,0.0,2.0,2.0,4.5
15,29,田嶋大樹,11000,3.09,13.0,6.0,4.0,,0.6,0.0,0.0,0.0,0.0,64.0,7.05,31.0,28.0,73.0,9.0,18.0,2.0,1.98
16,30,鈴木康平,1700,,,,,,,,,,,,,,,,,,,
17,030,西濱勇星,240,,,,,,,,,,,,,,,,,,,
18,031,才木海翔,240,,,,,,,,,,,,,,,,,,,
19,032,入山海斗,240,,,,,,,,,,,,,,,,,,,
20,35,比嘉幹貴,3600,2.25,31.0,2.0,0.0,20.0,1.0,0.0,0.0,0.0,6.0,10.0,4.5,5.0,5.0,21.0,3.0,2.0,2.0,0.9
21,42,ジャレル・コットン,9000,5.89,7.0,1.0,1.0,,0.5,0.0,0.0,0.0,1.0,22.0,10.8,13.0,12.0,24.0,4.0,4.0,1.0,1.96
22,43,前佑囲斗,550,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,4.5
23,45,阿部翔太,4000,2.7,49.0,3.0,5.0,,0.375,0.0,0.0,1.0,21.0,42.0,8.1,17.0,14.0,37.0,4.0,12.0,5.0,2.31
24,46,本田仁海,2200,6.34,28.0,2.0,1.0,,0.667,0.0,0.0,0.0,7.0,34.0,9.37,23.0,23.0,36.0,5.0,12.0,0.0,3.31
25,47,日高暖己,450,,,,,,,,,,,,,,,,,,,
26,48,ジェイコブ・ニックス,2000,10.5,2.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,7.5,7.0,7.0,7.0,2.0,6.0,0.0,9.0
27,52,横山楓,750,7.36,4.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,3.0,7.36,3.0,3.0,4.0,0.0,4.0,0.0,9.82
28,54,黒木優太,3000,6.58,12.0,1.0,5.0,26.0,0.167,0.0,0.0,0.0,0.0,20.0,6.92,20.0,19.0,33.0,2.0,16.0,1.0,5.54
29,56,小木田敦也,1000,2.19,38.0,4.0,0.0,,1.0,0.0,0.0,0.0,7.0,37.0,6.75,16.0,12.0,37.0,4.0,13.0,0.0,2.37
30,57,山田修義,3600,1.15,32.0,0.0,0.0,,0.0,0.0,0.0,0.0,6.0,29.0,8.33,4.0,4.0,23.0,1.0,10.0,1.0,2.87
31,58,ジェイコブ・ワゲスパック,13000,5.77,31.0,4.0,7.0,,0.364,0.0,0.0,2.0,4.0,67.0,13.81,30.0,28.0,44.0,4.0,26.0,1.0,5.36
