,背番号,名前,年俸,打率,試合数,打席数,打数,安打,二塁打,三塁打,本塁打,塁打数,得点,打点,三振,四球,死球,盗塁,出塁率,長打率,OPS,三振率
0,00,川瀬晃,1700,0.236,102.0,208.0,178.0,42.0,7.0,3.0,0.0,55.0,25.0,15.0,23.0,9.0,2.0,2.0,0.279,0.309,0.588,0.111
1,0,F.ガルビス,35000,0.152,19.0,34.0,33.0,5.0,0.0,0.0,0.0,5.0,1.0,1.0,11.0,0.0,1.0,0.0,0.176,0.152,0.328,0.324
2,3,近藤健介,25500,0.303,143.0,613.0,492.0,149.0,33.0,0.0,26.0,260.0,75.0,87.0,117.0,109.0,6.0,3.0,0.431,0.528,0.959,0.191
3,4,W.アストゥディーヨ,18000,0.136,20.0,50.0,44.0,6.0,1.0,0.0,1.0,10.0,2.0,3.0,2.0,2.0,3.0,0.0,0.22,0.227,0.447,0.04
4,6,今宮健太,30000,0.255,126.0,484.0,427.0,109.0,22.0,0.0,9.0,158.0,38.0,48.0,58.0,27.0,2.0,4.0,0.3,0.37,0.67,0.12
5,7,中村晃,15000,0.274,136.0,585.0,511.0,140.0,13.0,2.0,5.0,172.0,52.0,37.0,53.0,60.0,3.0,0.0,0.351,0.337,0.688,0.091
6,8,牧原大成,8000,0.259,91.0,387.0,359.0,93.0,13.0,1.0,2.0,114.0,40.0,32.0,66.0,11.0,5.0,3.0,0.287,0.318,0.604,0.171
7,9,柳田悠岐,62000,0.299,143.0,625.0,546.0,163.0,29.0,3.0,22.0,264.0,57.0,85.0,97.0,64.0,9.0,1.0,0.378,0.484,0.861,0.155
8,10,C.ホーキンス,6600,0.0,3.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
9,12,嶺井博希,2700,0.206,44.0,39.0,34.0,7.0,2.0,0.0,2.0,15.0,3.0,6.0,10.0,0.0,1.0,0.0,0.222,0.441,0.663,0.256
10,13,三森大貴,4500,0.26,102.0,316.0,296.0,77.0,8.0,2.0,5.0,104.0,40.0,21.0,48.0,12.0,0.0,14.0,0.289,0.351,0.64,0.152
11,19,甲斐拓也,21000,0.202,139.0,420.0,366.0,74.0,16.0,1.0,10.0,122.0,35.0,44.0,117.0,31.0,3.0,0.0,0.269,0.333,0.602,0.279
12,22,牧原巧汰,550,,,,,,,,,,,,,,,,,,,
13,23,周東佑京,4000,0.241,114.0,268.0,237.0,57.0,5.0,1.0,2.0,70.0,52.0,17.0,56.0,20.0,3.0,36.0,0.307,0.295,0.602,0.209
14,24,栗原陵矢,7000,0.239,96.0,387.0,352.0,84.0,14.0,0.0,13.0,137.0,24.0,49.0,81.0,28.0,4.0,0.0,0.301,0.389,0.69,0.209
15,25,アルフレド・デスパイネ,18600,0.071,20.0,49.0,42.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,13.0,7.0,0.0,0.0,0.204,0.071,0.276,0.265
16,30,佐藤直樹,1400,0.167,41.0,31.0,30.0,5.0,1.0,0.0,1.0,9.0,6.0,2.0,16.0,0.0,0.0,3.0,0.167,0.3,0.467,0.516
17,31,正木智也,1300,0.038,15.0,30.0,26.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,10.0,3.0,1.0,0.0,0.167,0.038,0.205,0.333
18,32,柳町達,2900,0.257,116.0,375.0,311.0,80.0,18.0,1.0,0.0,100.0,27.0,34.0,104.0,58.0,1.0,2.0,0.375,0.322,0.696,0.277
19,33,増田珠,860,0.182,35.0,75.0,66.0,12.0,2.0,0.0,1.0,17.0,7.0,3.0,17.0,5.0,3.0,0.0,0.27,0.258,0.528,0.227
20,36,イヒネ・イツア,800,,,,,,,,,,,,,,,,,,,
21,37,生海,1000,0.2,13.0,21.0,20.0,4.0,0.0,0.0,0.0,4.0,2.0,0.0,5.0,1.0,0.0,0.0,0.238,0.2,0.438,0.238
22,43,井上朋也,860,0.263,15.0,41.0,38.0,10.0,2.0,0.0,1.0,15.0,3.0,3.0,10.0,3.0,0.0,0.0,0.317,0.395,0.712,0.244
