,背番号,名前,年俸,防御率,試合数,勝利,敗戦,投球回数,勝率,完投,完封,セーブ,ホールド,奪三振,奪三振率,失点,自責点,被安打,被本塁打,与四球,与死球,与四球率
0,1,風間球打,1080.0,,,,,,,,,,,,,,,,,,,
1,2,スチュワート・ジュニア,11000.0,3.38,14.0,3.0,6.0,,0.333,0.0,0.0,0.0,0.0,67.0,7.8,31.0,29.0,70.0,7.0,42.0,1.0,4.89
2,11,津森宥紀,4100.0,3.51,56.0,4.0,4.0,,0.5,0.0,0.0,0.0,22.0,44.0,8.14,20.0,19.0,37.0,4.0,21.0,3.0,3.88
3,14,又吉克樹,15000.0,2.25,32.0,2.0,2.0,28.0,0.5,0.0,0.0,0.0,10.0,15.0,4.82,7.0,7.0,21.0,2.0,10.0,2.0,3.21
4,16,東浜巨,15000.0,4.52,17.0,6.0,7.0,,0.462,0.0,0.0,0.0,0.0,73.0,6.59,50.0,50.0,114.0,6.0,24.0,0.0,2.17
5,17,有原航平,50000.0,2.31,17.0,10.0,5.0,,0.667,1.0,1.0,0.0,0.0,74.0,5.52,40.0,31.0,105.0,13.0,25.0,7.0,1.86
6,18,武田翔太,15000.0,3.91,29.0,1.0,2.0,46.0,0.333,0.0,0.0,0.0,2.0,38.0,7.43,20.0,20.0,45.0,1.0,19.0,2.0,3.72
7,20,甲斐野央,3600.0,2.53,46.0,3.0,1.0,,0.75,0.0,0.0,2.0,8.0,39.0,8.23,12.0,12.0,33.0,2.0,13.0,2.0,2.74
8,21,和田毅,16500.0,3.24,21.0,8.0,6.0,100.0,0.571,0.0,0.0,0.0,0.0,85.0,7.65,39.0,36.0,89.0,10.0,29.0,3.0,2.61
9,26,大津亮介,1200.0,2.43,46.0,2.0,0.0,,1.0,0.0,0.0,0.0,13.0,21.0,4.65,14.0,11.0,34.0,5.0,11.0,2.0,2.43
10,27,J.ガンケル,16000.0,5.82,5.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,11.0,5.82,14.0,11.0,21.0,3.0,5.0,2.0,2.65
