,背番号,名前,年俸,打率,試合数,打席数,打数,安打,二塁打,三塁打,本塁打,塁打数,得点,打点,三振,四球,死球,盗塁,出塁率,長打率,OPS,三振率
0,00,奥村展征,1200.0,0.5,3.0,5.0,4.0,2.0,1.0,0.0,0.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.4,0.75,1.15,0.4
1,0,並木秀尊,900.0,0.242,82.0,174.0,161.0,39.0,3.0,1.0,1.0,47.0,37.0,7.0,33.0,8.0,1.0,15.0,0.282,0.292,0.574,0.19
2,1,山田哲人,50000.0,0.231,105.0,422.0,376.0,87.0,21.0,3.0,14.0,156.0,43.0,40.0,102.0,39.0,3.0,4.0,0.306,0.415,0.721,0.242
3,3,西浦直亨,2600.0,0.167,6.0,12.0,12.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,5.0,0.0,0.0,0.0,0.167,0.167,0.333,0.417
4,4,丸山和郁,1500.0,0.206,67.0,106.0,97.0,20.0,5.0,0.0,0.0,25.0,13.0,7.0,27.0,6.0,0.0,7.0,0.252,0.258,0.51,0.255
5,5,川端慎吾,2500.0,0.319,80.0,105.0,94.0,30.0,3.0,0.0,2.0,39.0,4.0,16.0,10.0,9.0,1.0,0.0,0.385,0.415,0.8,0.095
6,6,元山飛優,1300.0,0.179,22.0,42.0,39.0,7.0,1.0,0.0,0.0,8.0,1.0,3.0,13.0,0.0,0.0,0.0,0.175,0.205,0.38,0.31
7,7,長岡秀樹,3300.0,0.227,135.0,488.0,445.0,101.0,19.0,1.0,3.0,131.0,43.0,35.0,57.0,29.0,5.0,4.0,0.281,0.294,0.575,0.117
8,9,塩見泰隆,8600.0,0.301,51.0,209.0,186.0,56.0,9.0,2.0,8.0,93.0,33.0,31.0,40.0,19.0,3.0,1.0,0.373,0.5,0.873,0.191
9,10,荒木貴裕,2300.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
10,13,ホセ・オスナ,15800.0,0.253,134.0,543.0,501.0,127.0,23.0,0.0,23.0,219.0,49.0,71.0,79.0,39.0,1.0,2.0,0.308,0.437,0.745,0.145
11,022,松井聖,300.0,,,,,,,,,,,,,,,,,,,
12,023,橋本星哉,280.0,,,,,,,,,,,,,,,,,,,
13,23,青木宣親,34000.0,0.253,96.0,264.0,217.0,55.0,8.0,0.0,3.0,72.0,25.0,19.0,28.0,39.0,4.0,2.0,0.371,0.332,0.703,0.106
14,024,岩田幸宏,300.0,,,,,,,,,,,,,,,,,,,
15,25,サンタナ,27000.0,0.3,136.0,516.0,467.0,140.0,32.0,0.0,18.0,226.0,52.0,66.0,114.0,44.0,2.0,2.0,0.36,0.484,0.844,0.221
16,025,木須フェリペ,,,,,,,,,,,,,,,,,,,,
17,27,中村悠平,17000.0,0.226,106.0,376.0,310.0,70.0,14.0,0.0,4.0,96.0,24.0,33.0,59.0,33.0,8.0,0.0,0.313,0.31,0.622,0.157
18,30,西田明央,2000.0,0.125,8.0,8.0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.125,0.125,0.25,0.375
19,31,山崎晃大朗,4000.0,0.241,64.0,153.0,137.0,33.0,2.0,0.0,0.0,35.0,17.0,3.0,33.0,10.0,0.0,9.0,0.293,0.255,0.548,0.216
20,32,松本直樹,1000.0,0.0,3.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
