,背番号,名前,年俸,打率,試合数,打席数,打数,安打,二塁打,三塁打,本塁打,塁打数,得点,打点,三振,四球,死球,盗塁,出塁率,長打率,OPS,三振率
0,00,池田来翔,1200.0,0.269,40.0,118.0,104.0,28.0,6.0,1.0,2.0,42.0,17.0,8.0,17.0,6.0,3.0,0.0,0.327,0.404,0.731,0.144
1,0,荻野貴司,10000.0,0.24,50.0,203.0,183.0,44.0,8.0,1.0,1.0,57.0,19.0,19.0,16.0,11.0,6.0,1.0,0.302,0.311,0.613,0.079
2,1,藤原恭大,2200.0,0.238,103.0,361.0,328.0,78.0,15.0,2.0,3.0,106.0,35.0,21.0,78.0,18.0,4.0,5.0,0.285,0.323,0.608,0.216
3,2,松川虎生,2400.0,0.188,9.0,18.0,16.0,3.0,0.0,0.0,0.0,3.0,1.0,1.0,4.0,1.0,0.0,0.0,0.235,0.188,0.423,0.222
4,3,角中勝也,5500.0,0.296,86.0,244.0,216.0,64.0,16.0,1.0,9.0,109.0,20.0,39.0,43.0,21.0,1.0,1.0,0.357,0.505,0.861,0.176
5,4,藤岡裕大,5000.0,0.277,93.0,380.0,310.0,86.0,20.0,0.0,1.0,109.0,34.0,22.0,66.0,54.0,4.0,7.0,0.389,0.352,0.741,0.174
6,5,安田尚憲,4200.0,0.238,122.0,472.0,416.0,99.0,24.0,0.0,9.0,150.0,33.0,43.0,95.0,49.0,2.0,2.0,0.318,0.361,0.678,0.201
7,7,福田秀平,12000.0,0.25,3.0,9.0,8.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,1.0,0.333,0.25,0.583,0.333
8,8,中村奨吾,20000.0,0.22,137.0,584.0,508.0,112.0,23.0,0.0,11.0,168.0,61.0,48.0,89.0,52.0,7.0,3.0,0.299,0.331,0.63,0.152
9,10,友杉篤輝,1200.0,0.254,64.0,209.0,185.0,47.0,7.0,0.0,0.0,54.0,21.0,9.0,31.0,9.0,0.0,9.0,0.287,0.292,0.579,0.148
10,13,平沢大河,1400.0,0.17,57.0,170.0,135.0,23.0,1.0,0.0,3.0,33.0,19.0,8.0,43.0,25.0,3.0,3.0,0.311,0.244,0.555,0.253
11,22,田村龍弘,7000.0,0.166,78.0,214.0,181.0,30.0,3.0,0.0,2.0,39.0,6.0,19.0,38.0,13.0,2.0,0.0,0.226,0.215,0.442,0.178
12,22,ポランコ,20000.0,0.242,125.0,497.0,447.0,108.0,15.0,0.0,26.0,201.0,43.0,75.0,92.0,47.0,0.0,0.0,0.312,0.45,0.762,0.185
13,23,三木亮,2100.0,,,,,,,,,,,,,,,,,,,
14,25,岡大海,3600.0,0.282,109.0,372.0,319.0,90.0,16.0,3.0,7.0,133.0,50.0,33.0,56.0,37.0,8.0,15.0,0.371,0.417,0.788,0.151
15,31,菅野剛士,1900.0,0.1,6.0,11.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.182,0.1,0.282,0.182
16,32,佐藤都志也,3100.0,0.218,103.0,278.0,239.0,52.0,12.0,1.0,4.0,78.0,19.0,22.0,45.0,22.0,3.0,0.0,0.289,0.326,0.616,0.162
17,38,高部瑛斗,3500.0,,,,,,,,,,,,,,,,,,,
18,39,大下誠一郎,800.0,0.227,23.0,28.0,22.0,5.0,0.0,0.0,1.0,8.0,2.0,2.0,7.0,2.0,3.0,0.0,0.37,0.364,0.734,0.25
19,44,井上晴哉,4200.0,0.179,32.0,106.0,95.0,17.0,6.0,0.0,1.0,26.0,3.0,8.0,24.0,9.0,1.0,1.0,0.255,0.274,0.528,0.226
20,50,石川慎吾,1800.0,0.348,44.0,118.0,112.0,39.0,6.0,0.0,2.0,51.0,10.0,10.0,20.0,6.0,0.0,0.0,0.381,0.455,0.837,0.169
21,51,山口航輝,2800.0,0.235,115.0,474.0,421.0,99.0,21.0,0.0,14.0,162.0,46.0,57.0,122.0,43.0,5.0,0.0,0.31,0.385,0.695,0.257
22,53,江村直也,1050.0,0.0,4.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
23,57,小川龍成,1200.0,0.15,52.0,24.0,20.0,3.0,1.0,0.0,0.0,4.0,7.0,1.0,7.0,1.0,0.0,3.0,0.19,0.2,0.39,0.292
24,59,西川僚祐,500.0,,,,,,,,,,,,,,,,,,,
25,61,山本大斗,440.0,0.143,2.0,7.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.143,0.143,0.286,0.571
