,背番号,名前,年俸,防御率,試合数,勝利,敗戦,投球回数,勝率,完投,完封,セーブ,ホールド,奪三振,奪三振率,失点,自責点,被安打,被本塁打,与四球,与死球,与四球率
0,11,佐々木千隼,3850,3.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,0.0,0.0,1.0,0.0
1,12,石川歩,15000,,,,,,,,,,,,,,,,,,,
2,14,小島和哉,6800,3.47,25.0,10.0,6.0,,0.625,0.0,0.0,0.0,0.0,114.0,6.48,64.0,61.0,143.0,14.0,57.0,6.0,3.24
3,15,美馬学,14000,4.76,18.0,3.0,9.0,,0.25,0.0,0.0,0.0,0.0,67.0,6.13,55.0,52.0,106.0,13.0,32.0,3.0,2.93
4,16,種市篤暉,1800,3.42,23.0,10.0,7.0,,0.588,0.0,0.0,0.0,0.0,157.0,10.34,56.0,52.0,124.0,12.0,45.0,7.0,2.96
5,17,佐々木朗希,8000,1.78,15.0,7.0,4.0,91.0,0.636,0.0,0.0,0.0,0.0,135.0,13.35,19.0,18.0,51.0,1.0,17.0,5.0,1.68
6,18,二木康太,4600,,,,,,,,,,,,,,,,,,,
7,19,唐川侑己,10000,7.04,6.0,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,2.0,2.35,6.0,6.0,15.0,1.0,1.0,0.0,1.17
8,20,東條大樹,5500,7.45,11.0,0.0,0.0,,0.0,0.0,0.0,1.0,2.0,10.0,9.31,9.0,8.0,12.0,1.0,5.0,0.0,4.66
9,24,東妻勇輔,1700,2.91,36.0,0.0,1.0,34.0,0.0,0.0,0.0,0.0,11.0,28.0,7.41,11.0,11.0,29.0,3.0,12.0,1.0,3.18
10,28,菊地吏玖,1600,2.25,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,7.0,1.0,3.0,0.0,6.75
11,29,西野勇士,5000,2.69,18.0,8.0,5.0,117.0,0.615,1.0,0.0,0.0,0.0,92.0,7.08,39.0,35.0,109.0,4.0,23.0,4.0,1.77
12,30,廣畑敦也,1700,5.73,8.0,1.0,1.0,11.0,0.5,0.0,0.0,0.0,0.0,11.0,9.0,7.0,7.0,14.0,1.0,5.0,0.0,4.09
