,背番号,名前,年俸,打率,試合数,打席数,打数,安打,二塁打,三塁打,本塁打,塁打数,得点,打点,三振,四球,死球,盗塁,出塁率,長打率,OPS,三振率
0,0,細川成也,990,0.253,140.0,576.0,518.0,131.0,30.0,1.0,24.0,235.0,62.0,78.0,161.0,49.0,8.0,0.0,0.326,0.454,0.78,0.28
1,2,田中幹也,720,,,,,,,,,,,,,,,,,,,
2,3,高橋周平,6750,0.215,86.0,172.0,158.0,34.0,6.0,0.0,0.0,40.0,1.0,14.0,41.0,11.0,1.0,1.0,0.271,0.253,0.524,0.238
3,4,鵜飼航丞,1500,0.143,41.0,94.0,91.0,13.0,1.0,0.0,3.0,23.0,7.0,5.0,31.0,2.0,1.0,1.0,0.17,0.253,0.423,0.33
4,5,村松開人,1200,0.207,98.0,304.0,275.0,57.0,4.0,1.0,1.0,66.0,20.0,20.0,49.0,15.0,2.0,1.0,0.252,0.24,0.492,0.161
5,8,大島洋平,25000,0.289,130.0,494.0,470.0,136.0,17.0,2.0,0.0,157.0,34.0,23.0,43.0,15.0,5.0,6.0,0.316,0.334,0.65,0.087
6,9,アキーノ,16800,0.154,20.0,68.0,65.0,10.0,4.0,0.0,1.0,17.0,2.0,6.0,32.0,2.0,0.0,0.0,0.176,0.262,0.438,0.471
7,23,福元悠真,720,,,,,,,,,,,,,,,,,,,
8,25,石川昂弥,1500,0.242,121.0,464.0,434.0,105.0,27.0,0.0,13.0,171.0,32.0,45.0,69.0,22.0,4.0,0.0,0.282,0.394,0.676,0.149
9,27,大野奨太,2200,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,30,三好大倫,900,0.154,30.0,17.0,13.0,2.0,1.0,0.0,0.0,3.0,6.0,0.0,4.0,1.0,2.0,3.0,0.312,0.231,0.543,0.235
11,32,石垣雅海,1000,0.087,22.0,26.0,23.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,2.0,0.0,0.0,0.16,0.087,0.247,0.231
12,35,木下拓哉,6800,0.237,89.0,315.0,278.0,66.0,15.0,0.0,5.0,96.0,19.0,26.0,55.0,30.0,1.0,0.0,0.313,0.345,0.658,0.175
13,37,濱将乃介,720,,,,,,,,,,,,,,,,,,,
14,39,宇佐見真吾,3000,0.282,69.0,226.0,206.0,58.0,6.0,0.0,3.0,73.0,12.0,14.0,47.0,17.0,1.0,0.0,0.339,0.354,0.694,0.208
15,42,ブライト健太,1400,0.241,33.0,68.0,58.0,14.0,0.0,2.0,0.0,18.0,6.0,4.0,20.0,6.0,1.0,2.0,0.323,0.31,0.633,0.294
16,43,味谷大誠,600,0.286,6.0,7.0,7.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.286,0.286,0.571,0.143
17,44,郡司裕也,975,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,44,川越誠司,1400,0.212,18.0,36.0,33.0,7.0,1.0,0.0,0.0,8.0,3.0,1.0,8.0,3.0,0.0,0.0,0.278,0.242,0.52,0.222
19,45,龍空,1350,0.187,114.0,304.0,273.0,51.0,3.0,2.0,1.0,61.0,16.0,18.0,59.0,15.0,2.0,2.0,0.233,0.223,0.456,0.194
20,48,溝脇隼人,1500,0.175,59.0,45.0,40.0,7.0,2.0,0.0,0.0,9.0,5.0,3.0,12.0,2.0,1.0,1.0,0.233,0.225,0.458,0.267
21,49,伊藤康祐,720,0.15,34.0,22.0,20.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,3.0,0.0,0.0,1.0,0.15,0.15,0.3,0.136
22,51,高松渡,1060,0.0,23.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
23,52,加藤翔平,2300,0.225,59.0,45.0,40.0,9.0,0.0,0.0,0.0,9.0,6.0,4.0,8.0,2.0,1.0,2.0,0.279,0.225,0.504,0.178
24,53,後藤駿太,2100,0.182,52.0,51.0,44.0,8.0,3.0,0.0,0.0,11.0,3.0,6.0,18.0,5.0,0.0,0.0,0.26,0.25,0.51,0.353
25,55,福田永将,3500,0.15,19.0,26.0,20.0,3.0,0.0,0.0,1.0,6.0,3.0,1.0,4.0,5.0,1.0,0.0,0.346,0.3,0.646,0.154
26,56,星野真生,540,,,,,,,,,,,,,,,,,,,
27,57,山浅龍之介,600,0.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,58,石橋康太,950,0.257,39.0,77.0,70.0,18.0,6.0,0.0,2.0,30.0,7.0,9.0,7.0,1.0,0.0,0.0,0.268,0.429,0.696,0.091
29,60,岡林勇希,4000,0.279,143.0,633.0,584.0,163.0,21.0,10.0,3.0,213.0,61.0,31.0,89.0,39.0,0.0,12.0,0.324,0.365,0.688,0.141
30,63,堂上直倫,2900,0.222,12.0,10.0,9.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3,0.333,0.633,0.1
31,66,ビシエド,35000,0.244,91.0,347.0,315.0,77.0,9.0,0.0,6.0,104.0,20.0,23.0,41.0,27.0,4.0,0.0,0.311,0.33,0.641,0.118
32,68,福永裕基,720,0.241,97.0,325.0,291.0,70.0,16.0,1.0,2.0,94.0,30.0,15.0,62.0,20.0,2.0,2.0,0.289,0.323,0.612,0.191
33,69,加藤匠馬,1900,0.0,10.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375
34,96,アルモンテ,3000,0.189,28.0,54.0,53.0,10.0,1.0,0.0,1.0,14.0,3.0,2.0,18.0,1.0,0.0,0.0,0.204,0.264,0.468,0.333
35,97,樋口正修,300,0.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333
36,99,カリステ,3000,0.233,47.0,172.0,163.0,38.0,8.0,0.0,5.0,61.0,13.0,13.0,36.0,7.0,0.0,0.0,0.265,0.374,0.639,0.209
37,209,レビーラ,1000,,,,,,,,,,,,,,,,,,,
38,210,ガルシア,1000,,,,,,,,,,,,,,,,,,,
