,背番号,名前,年俸,防御率,試合数,勝利,敗戦,投球回数,勝率,完投,完封,セーブ,ホールド,奪三振,奪三振率,失点,自責点,被安打,被本塁打,与四球,与死球,与四球率
0,7,根尾昂,1850.0,0.71,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,4.0,2.84,5.0,1.0,9.0,0.0,8.0,0.0,5.68
1,11,小笠原慎之介,6600.0,3.59,25.0,7.0,12.0,,0.368,1.0,1.0,0.0,0.0,134.0,7.51,69.0,64.0,153.0,14.0,41.0,4.0,2.3
2,12,田島慎二,3500.0,4.85,32.0,1.0,2.0,,0.333,0.0,0.0,0.0,10.0,31.0,9.4,16.0,16.0,24.0,3.0,17.0,1.0,5.16
3,13,橋本侑樹,1100.0,1.17,13.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,9.0,5.28,2.0,2.0,9.0,0.0,10.0,3.0,5.87
4,14,谷元圭介,4200.0,8.44,7.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,3.38,8.0,5.0,5.0,1.0,6.0,0.0,10.12
5,17,柳裕也,10800.0,2.44,24.0,4.0,11.0,,0.267,2.0,0.0,0.0,0.0,105.0,5.97,46.0,43.0,126.0,6.0,47.0,4.0,2.67
6,18,梅津晃大,950.0,0.95,3.0,1.0,1.0,19.0,0.5,0.0,0.0,0.0,0.0,11.0,5.21,3.0,2.0,9.0,2.0,5.0,2.0,2.37
7,19,高橋宏斗,3500.0,2.53,25.0,7.0,11.0,146.0,0.389,1.0,1.0,0.0,0.0,145.0,8.94,52.0,41.0,129.0,6.0,51.0,9.0,3.14
8,20,涌井秀章,10000.0,3.97,21.0,5.0,13.0,111.0,0.278,0.0,0.0,0.0,0.0,89.0,7.22,53.0,49.0,116.0,9.0,30.0,2.0,2.43
9,21,岡田俊哉,1900.0,,,,,,,,,,,,,,,,,,,
10,22,大野雄大,30000.0,0.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,3.86,1.0,0.0,3.0,0.0,1.0,0.0,1.29
11,24,福谷浩司,2200.0,5.17,14.0,3.0,4.0,54.0,0.429,0.0,0.0,0.0,0.0,36.0,6.0,34.0,31.0,72.0,6.0,11.0,1.0,1.83
12,26,石森大誠,900.0,,,,,,,,,,,,,,,,,,,
13,28,森博人,1450.0,,,,,,,,,,,,,,,,,,,
14,29,ジャリエル・ロドリゲス,20000.0,,,,,,,,,,,,,,,,,,,
15,31,仲地礼亜,1600.0,4.98,9.0,2.0,5.0,,0.286,0.0,0.0,0.0,0.0,37.0,7.68,24.0,24.0,41.0,6.0,25.0,0.0,5.19
