,背番号,名前,年俸,打率,試合数,打席数,打数,安打,二塁打,三塁打,本塁打,塁打数,得点,打点,三振,四球,死球,盗塁,出塁率,長打率,OPS,三振率
0,00,湯浅大,1500,,,,,,,,,,,,,,,,,,,
1,0,増田大輝,2300,0.3,33.0,13.0,10.0,3.0,1.0,0.0,0.0,4.0,4.0,1.0,3.0,1.0,0.0,4.0,0.364,0.4,0.764,0.231
2,001,加藤廉,410,,,,,,,,,,,,,,,,,,,
3,2,吉川尚輝,7000,0.256,132.0,478.0,430.0,110.0,19.0,4.0,7.0,158.0,47.0,36.0,66.0,26.0,8.0,4.0,0.308,0.367,0.676,0.138
4,002,中田歩夢,360,,,,,,,,,,,,,,,,,,,
5,003,鈴木大和,410,,,,,,,,,,,,,,,,,,,
6,5,中島宏之,5000,0.278,8.0,19.0,18.0,5.0,0.0,0.0,0.0,5.0,1.0,0.0,5.0,1.0,0.0,0.0,0.316,0.278,0.594,0.263
7,006,坂本勇人,370,,,,,,,,,,,,,,,,,,,
8,6,坂本勇人,60000,0.288,116.0,455.0,403.0,116.0,29.0,0.0,22.0,211.0,46.0,60.0,84.0,45.0,2.0,2.0,0.361,0.524,0.884,0.185
9,007,J.デラクルーズ,240,,,,,,,,,,,,,,,,,,,
10,7,長野久義,2000,0.259,75.0,176.0,158.0,41.0,7.0,1.0,6.0,68.0,15.0,19.0,40.0,17.0,0.0,1.0,0.33,0.43,0.76,0.227
11,008,相澤白虎,360,,,,,,,,,,,,,,,,,,,
12,8,丸佳浩,45000,0.244,121.0,431.0,385.0,94.0,11.0,0.0,18.0,159.0,43.0,47.0,62.0,42.0,0.0,4.0,0.316,0.413,0.729,0.144
13,009,笹原操希,370,,,,,,,,,,,,,,,,,,,
14,010,大津綾也,370,,,,,,,,,,,,,,,,,,,
15,10,中田翔,30000,0.255,92.0,288.0,263.0,67.0,8.0,1.0,15.0,122.0,27.0,37.0,63.0,19.0,2.0,0.0,0.306,0.464,0.769,0.219
16,12,萩尾匡也,1200,0.062,11.0,16.0,16.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.062,0.062,0.125,0.625
17,13,梶谷隆幸,20000,0.275,102.0,291.0,265.0,73.0,8.0,0.0,2.0,87.0,26.0,19.0,45.0,17.0,3.0,2.0,0.326,0.328,0.655,0.155
18,013,J.ティマ,240,,,,,,,,,,,,,,,,,,,
19,22,小林誠司,10000,0.125,21.0,9.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.25,0.0
20,022,亀田啓太,410,,,,,,,,,,,,,,,,,,,
21,23,松田宣浩,2000,0.062,12.0,17.0,16.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.062,0.062,0.125,0.294
22,24,大城卓三,8000,0.281,134.0,490.0,424.0,119.0,20.0,1.0,16.0,189.0,50.0,55.0,109.0,36.0,5.0,0.0,0.341,0.446,0.787,0.222
23,024,前田研輝,410,,,,,,,,,,,,,,,,,,,
24,25,岡本和真,27000,0.278,140.0,589.0,503.0,140.0,31.0,0.0,41.0,294.0,83.0,93.0,111.0,72.0,8.0,0.0,0.374,0.584,0.958,0.188
25,025,岡本大翔,410,,,,,,,,,,,,,,,,,,,
26,27,岸田行倫,1600,0.25,46.0,72.0,68.0,17.0,2.0,0.0,2.0,25.0,5.0,3.0,12.0,2.0,1.0,0.0,0.282,0.368,0.649,0.167
27,027,北村流音,360,,,,,,,,,,,,,,,,,,,
28,031,三塚琉生,360,,,,,,,,,,,,,,,,,,,
29,32,廣岡大志,1700,0.214,9.0,30.0,28.0,6.0,0.0,0.0,1.0,9.0,5.0,2.0,8.0,0.0,1.0,1.0,0.233,0.321,0.555,0.267
30,35,門脇誠,840,0.263,126.0,348.0,316.0,83.0,12.0,1.0,3.0,106.0,34.0,21.0,58.0,18.0,0.0,11.0,0.302,0.335,0.638,0.167
31,36,石川慎吾,1800,,,,,,,,,,,,,,,,,,,
32,37,若林晃弘,2500,0.125,21.0,18.0,16.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,5.0,2.0,0.0,1.0,0.222,0.125,0.347,0.278
33,38,岡田悠希,950,0.167,26.0,52.0,48.0,8.0,1.0,0.0,1.0,12.0,4.0,2.0,14.0,3.0,0.0,0.0,0.216,0.25,0.466,0.269
34,039,立岡宗一郎,2350,,,,,,,,,,,,,,,,,,,
35,40,中山礼都,1260,0.239,78.0,147.0,138.0,33.0,5.0,1.0,0.0,40.0,9.0,3.0,30.0,7.0,0.0,5.0,0.276,0.29,0.566,0.204
