,背番号,名前,年俸,防御率,試合数,勝利,敗戦,投球回数,勝率,完投,完封,セーブ,ホールド,奪三振,奪三振率,失点,自責点,被安打,被本塁打,与四球,与死球,与四球率
0,011,笠島尚樹,380.0,,,,,,,,,,,,,,,,,,,
1,11,平内龍太,2900.0,3.95,11.0,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,8.0,5.27,6.0,6.0,14.0,3.0,7.0,0.0,4.61
2,014,京本眞,380.0,,,,,,,,,,,,,,,,,,,
3,15,大勢,5700.0,4.5,27.0,3.0,0.0,26.0,1.0,0.0,0.0,14.0,1.0,34.0,11.77,13.0,13.0,26.0,4.0,11.0,1.0,3.81
4,015,川嵜陽仁,370.0,,,,,,,,,,,,,,,,,,,
5,016,高田竜星,400.0,,,,,,,,,,,,,,,,,,,
6,017,奈良木陸,360.0,,,,,,,,,,,,,,,,,,,
7,18,菅野智之,50000.0,3.36,14.0,4.0,8.0,,0.333,0.0,0.0,0.0,0.0,54.0,6.26,30.0,29.0,70.0,10.0,15.0,3.0,1.74
8,018,木下幹也,390.0,,,,,,,,,,,,,,,,,,,
9,19,山崎伊織,2500.0,2.72,23.0,10.0,5.0,149.0,0.667,3.0,1.0,0.0,0.0,106.0,6.4,46.0,45.0,119.0,10.0,25.0,7.0,1.51
10,20,戸郷翔征,9000.0,2.38,24.0,12.0,5.0,170.0,0.706,4.0,2.0,0.0,0.0,141.0,7.46,49.0,45.0,141.0,14.0,39.0,3.0,2.06
11,020,戸田懐生,730.0,,,,,,,,,,,,,,,,,,,
12,023,田村朋輝,360.0,,,,,,,,,,,,,,,,,,,
13,26,今村信貴,4700.0,3.81,24.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,2.0,13.0,4.5,12.0,11.0,29.0,1.0,11.0,1.0,3.81
14,026,吉村優聖歩,360.0,,,,,,,,,,,,,,,,,,,
15,28,山田龍聖,1100.0,,,,,,,,,,,,,,,,,,,
16,028,富田龍,410.0,,,,,,,,,,,,,,,,,,,
17,29,F.グリフィン,10000.0,2.75,20.0,6.0,5.0,121.0,0.545,1.0,0.0,0.0,0.0,115.0,8.55,41.0,37.0,101.0,8.0,29.0,6.0,2.16
18,30,鍵谷陽平,6300.0,3.18,13.0,2.0,0.0,,1.0,0.0,0.0,1.0,2.0,11.0,8.74,4.0,4.0,10.0,1.0,5.0,0.0,3.97
19,030,山崎友輔,420.0,,,,,,,,,,,,,,,,,,,
20,31,赤星優志,2200.0,3.39,12.0,5.0,5.0,69.0,0.5,0.0,0.0,0.0,0.0,64.0,8.35,27.0,26.0,70.0,5.0,13.0,4.0,1.7
21,32,鈴木康平,1700.0,6.59,33.0,1.0,1.0,,0.5,0.0,0.0,0.0,13.0,26.0,8.56,20.0,20.0,24.0,6.0,14.0,3.0,4.61
22,33,T.ビーディ,16000.0,3.99,30.0,0.0,6.0,,0.0,0.0,0.0,1.0,7.0,36.0,6.52,23.0,22.0,51.0,5.0,21.0,4.0,3.81
23,033,太田龍,800.0,,,,,,,,,,,,,,,,,,,
24,034,森本哲星,360.0,,,,,,,,,,,,,,,,,,,
25,035,ルシアーノ,1000.0,,,,,,,,,,,,,,,,,,,
26,040,谷岡竜平,785.0,,,,,,,,,,,,,,,,,,,
27,41,中川皓太,7500.0,2.08,44.0,1.0,4.0,,0.2,0.0,0.0,14.0,17.0,38.0,7.89,10.0,10.0,37.0,3.0,9.0,1.0,1.87
28,45,畠世周,3300.0,,,,,,,,,,,,,,,,,,,
29,46,鍬原拓也,2900.0,9.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,4.0,7.2,5.0,5.0,7.0,0.0,3.0,2.0,5.4
