,背番号,名前,年俸,防御率,試合数,勝利,敗戦,投球回数,勝率,完投,完封,セーブ,ホールド,奪三振,奪三振率,失点,自責点,被安打,被本塁打,与四球,与死球,与四球率
0,11,九里亜蓮,14000,2.53,26.0,8.0,8.0,,0.5,3.0,3.0,0.0,0.0,129.0,6.66,58.0,49.0,142.0,8.0,49.0,10.0,2.53
1,12,大道温貴,1300,2.72,48.0,3.0,1.0,,0.75,0.0,0.0,0.0,10.0,49.0,8.88,15.0,15.0,44.0,2.0,23.0,3.0,4.17
2,13,森浦大輔,4000,6.17,13.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,8.0,6.17,8.0,8.0,11.0,1.0,12.0,0.0,9.26
3,14,大瀬良大地,18000,3.61,23.0,6.0,11.0,,0.353,0.0,0.0,0.0,0.0,103.0,7.15,53.0,52.0,117.0,15.0,33.0,4.0,2.29
4,16,森翔平,1400,4.53,12.0,4.0,2.0,,0.667,0.0,0.0,0.0,0.0,38.0,6.62,29.0,26.0,58.0,7.0,10.0,1.0,1.74
5,17,岡田明丈,1750,,,,,,,,,,,,,,,,,,,
6,18,森下暢仁,11000,3.01,20.0,9.0,6.0,,0.6,3.0,1.0,0.0,0.0,94.0,6.43,49.0,44.0,127.0,10.0,36.0,2.0,2.46
7,19,野村祐輔,5500,1.16,6.0,1.0,1.0,31.0,0.5,0.0,0.0,0.0,0.0,14.0,4.06,9.0,4.0,30.0,1.0,4.0,1.0,1.16
8,20,栗林良吏,9500,2.92,55.0,3.0,7.0,,0.3,0.0,0.0,18.0,15.0,51.0,8.77,18.0,17.0,42.0,4.0,19.0,1.0,3.27
9,21,中崎翔太,5300,2.73,35.0,1.0,0.0,33.0,1.0,0.0,0.0,0.0,7.0,24.0,6.55,13.0,10.0,25.0,1.0,6.0,2.0,1.64
10,23,薮田和樹,1600,9.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,4.5,4.0,4.0,5.0,1.0,3.0,2.0,6.75
11,24,黒原拓未,1400,10.66,5.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,13.0,9.24,15.0,15.0,21.0,1.0,10.0,0.0,7.11
12,26,益田武尚,1100,1.64,8.0,1.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,12.0,9.82,2.0,2.0,8.0,1.0,3.0,0.0,2.45
13,28,床田寛樹,5000,2.19,24.0,11.0,7.0,156.0,0.611,2.0,2.0,0.0,0.0,86.0,4.96,46.0,38.0,144.0,13.0,28.0,5.0,1.62
14,29,ケムナ誠,2700,3.71,24.0,2.0,0.0,,1.0,0.0,0.0,0.0,1.0,25.0,8.44,12.0,11.0,24.0,1.0,13.0,0.0,4.39
15,30,一岡竜司,3200,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,34,高橋昂也,1000,,,,,,,,,,,,,,,,,,,
