,背番号,名前,年俸,打率,試合数,打席数,打数,安打,二塁打,三塁打,本塁打,塁打数,得点,打点,三振,四球,死球,盗塁,出塁率,長打率,OPS,三振率
0,2,アリエル・マルティネス,8000.0,0.246,119.0,444.0,386.0,95.0,24.0,0.0,15.0,164.0,39.0,66.0,99.0,44.0,11.0,0.0,0.338,0.425,0.763,0.223
1,3,加藤豪将,5000.0,0.21,62.0,222.0,200.0,42.0,6.0,0.0,6.0,66.0,18.0,16.0,35.0,18.0,3.0,3.0,0.284,0.33,0.614,0.158
2,4,上川畑大悟,2200.0,0.212,108.0,346.0,293.0,62.0,5.0,1.0,0.0,69.0,16.0,18.0,51.0,34.0,6.0,3.0,0.305,0.235,0.541,0.147
3,5,野村佑希,3300.0,0.236,125.0,473.0,423.0,100.0,21.0,1.0,13.0,162.0,42.0,43.0,112.0,42.0,4.0,4.0,0.309,0.383,0.692,0.237
4,6,アリスメンディ・アルカンタラ,13000.0,0.204,41.0,125.0,113.0,23.0,6.0,0.0,4.0,41.0,14.0,10.0,41.0,9.0,0.0,1.0,0.262,0.363,0.625,0.328
5,7,松本剛,8600.0,0.276,134.0,561.0,507.0,140.0,16.0,2.0,3.0,169.0,51.0,30.0,57.0,37.0,7.0,12.0,0.332,0.333,0.665,0.102
6,8,淺間大基,2800.0,0.222,13.0,38.0,36.0,8.0,3.0,1.0,0.0,13.0,2.0,4.0,10.0,1.0,0.0,0.0,0.243,0.361,0.604,0.263
7,9,中島卓也,3000.0,0.207,17.0,32.0,29.0,6.0,0.0,0.0,0.0,6.0,3.0,2.0,5.0,2.0,0.0,2.0,0.258,0.207,0.465,0.156
8,10,清水優心,2900.0,0.26,32.0,60.0,50.0,13.0,1.0,0.0,0.0,14.0,3.0,5.0,13.0,4.0,0.0,1.0,0.315,0.28,0.595,0.217
9,21,清宮幸太郎,3300.0,0.244,99.0,416.0,356.0,87.0,20.0,1.0,10.0,139.0,41.0,41.0,69.0,53.0,3.0,2.0,0.344,0.39,0.734,0.166
10,23,伏見寅威,4500.0,0.201,89.0,251.0,229.0,46.0,5.0,0.0,3.0,60.0,13.0,12.0,42.0,8.0,4.0,0.0,0.241,0.262,0.503,0.167
11,27,古川裕大,1200.0,0.186,17.0,47.0,43.0,8.0,4.0,0.0,0.0,12.0,2.0,4.0,15.0,1.0,0.0,0.0,0.196,0.279,0.475,0.319
12,30,宇佐見真吾,3000.0,0.0,9.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.062,0.0,0.062,0.25
13,30,郡司裕也,975.0,0.254,55.0,187.0,169.0,43.0,4.0,0.0,3.0,56.0,15.0,19.0,30.0,16.0,0.0,2.0,0.319,0.331,0.65,0.16
14,32,谷内亮太,3000.0,0.197,44.0,88.0,76.0,15.0,0.0,0.0,0.0,15.0,6.0,5.0,9.0,8.0,0.0,0.0,0.274,0.197,0.471,0.102
15,35,福田光輝,800.0,0.175,24.0,63.0,57.0,10.0,3.0,0.0,2.0,19.0,8.0,7.0,19.0,4.0,1.0,0.0,0.242,0.333,0.575,0.302
16,36,木村文紀,1900.0,0.5,1.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.5,0.0
17,37,江越大賀,1200.0,0.18,100.0,176.0,150.0,27.0,4.0,2.0,5.0,50.0,17.0,13.0,77.0,11.0,2.0,9.0,0.244,0.333,0.577,0.438
18,38,石井一成,3500.0,0.169,36.0,100.0,83.0,14.0,3.0,2.0,0.0,21.0,8.0,4.0,27.0,14.0,0.0,3.0,0.289,0.253,0.542,0.27
19,39,有薗直輝,630.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
20,43,水野達稀,900.0,0.161,31.0,62.0,56.0,9.0,4.0,1.0,0.0,15.0,1.0,6.0,21.0,4.0,0.0,1.0,0.213,0.268,0.481,0.339
21,44,阪口樂,550.0,,,,,,,,,,,,,,,,,,,
22,49,山田遥楓,1200.0,0.268,29.0,46.0,41.0,11.0,2.0,0.0,0.0,13.0,1.0,1.0,6.0,4.0,1.0,0.0,0.348,0.317,0.665,0.13
23,50,五十幡亮汰,1050.0,0.228,70.0,205.0,193.0,44.0,2.0,3.0,0.0,52.0,23.0,6.0,50.0,4.0,2.0,17.0,0.251,0.269,0.521,0.244
24,56,細川凌平,660.0,0.216,60.0,112.0,97.0,21.0,5.0,1.0,1.0,31.0,11.0,10.0,26.0,7.0,0.0,1.0,0.269,0.32,0.589,0.232
25,58,奈良間大己,770.0,0.243,65.0,196.0,181.0,44.0,12.0,2.0,2.0,66.0,20.0,15.0,50.0,8.0,3.0,2.0,0.285,0.365,0.65,0.255
26,60,郡拓也,880.0,0.267,7.0,15.0,15.0,4.0,1.0,0.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,1.0,0.267,0.333,0.6,0.067
27,61,今川優馬,2000.0,0.197,28.0,69.0,61.0,12.0,1.0,0.0,0.0,13.0,7.0,1.0,17.0,6.0,2.0,3.0,0.29,0.213,0.503,0.246
28,64,田宮裕涼,570.0,0.258,10.0,31.0,31.0,8.0,1.0,0.0,2.0,15.0,4.0,9.0,7.0,0.0,0.0,2.0,0.258,0.484,0.742,0.226
29,65,梅林優貴,770.0,0.5,7.0,6.0,6.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,1.0,0.167
30,66,万波中正,2000.0,0.265,141.0,582.0,533.0,141.0,33.0,0.0,25.0,249.0,69.0,74.0,138.0,41.0,4.0,2.0,0.321,0.467,0.788,0.237
31,94,アレン・ハンソン,,0.144,39.0,96.0,90.0,13.0,3.0,0.0,4.0,28.0,9.0,9.0,12.0,5.0,0.0,2.0,0.188,0.311,0.499,0.125
32,99,王柏融,1500.0,0.238,20.0,45.0,42.0,10.0,0.0,1.0,1.0,15.0,5.0,5.0,16.0,3.0,0.0,0.0,0.289,0.357,0.646,0.356
33,124,阿部和広,260.0,,,,,,,,,,,,,,,,,,,
34,125,藤田大清,260.0,,,,,,,,,,,,,,,,,,,
35,127,山口アタル,260.0,,,,,,,,,,,,,,,,,,,
