,背番号,名前,年俸,防御率,試合数,勝利,敗戦,投球回数,勝率,完投,完封,セーブ,ホールド,奪三振,奪三振率,失点,自責点,被安打,被本塁打,与四球,与死球,与四球率
0,12,矢澤宏太,1500,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,13,生田目翼,900,2.16,5.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,5.0,5.4,3.0,2.0,5.0,0.0,4.0,2.0,4.32
2,14,加藤貴之,13500,2.87,24.0,7.0,9.0,,0.438,3.0,1.0,0.0,0.0,83.0,4.57,59.0,52.0,162.0,14.0,16.0,1.0,0.88
3,15,上沢直之,17000,2.96,24.0,9.0,9.0,170.0,0.5,2.0,2.0,0.0,0.0,124.0,6.56,66.0,56.0,152.0,14.0,41.0,5.0,2.17
4,16,達孝太,1000,,,,,,,,,,,,,,,,,,,
5,17,伊藤大海,8500,3.46,24.0,7.0,10.0,,0.412,3.0,1.0,0.0,0.0,134.0,7.87,64.0,59.0,147.0,11.0,41.0,8.0,2.41
6,18,吉田輝星,2000,9.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,3.0,3.0,5.0,1.0,2.0,0.0,6.0
7,19,玉井大翔,6800,2.63,50.0,0.0,2.0,,0.0,0.0,0.0,2.0,10.0,21.0,5.02,14.0,11.0,43.0,3.0,7.0,3.0,1.67
8,20,上原健太,2400,2.75,19.0,4.0,7.0,,0.364,0.0,0.0,0.0,0.0,74.0,6.57,40.0,31.0,101.0,7.0,22.0,4.0,1.95
9,22,杉浦稔大,6000,2.78,24.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,22.0,8.74,9.0,7.0,22.0,4.0,10.0,2.0,3.97
10,24,金村尚真,1100,1.8,4.0,2.0,1.0,25.0,0.667,0.0,0.0,0.0,0.0,23.0,8.28,7.0,5.0,18.0,0.0,5.0,0.0,1.8
11,25,宮西尚生,5000,2.66,31.0,1.0,3.0,,0.25,0.0,0.0,1.0,13.0,24.0,9.13,7.0,7.0,29.0,3.0,10.0,3.0,3.8
12,26,田中正義,1200,3.5,47.0,2.0,3.0,,0.4,0.0,0.0,25.0,8.0,46.0,8.94,18.0,18.0,43.0,6.0,13.0,0.0,2.53
13,28,河野竜生,2700,1.7,50.0,1.0,4.0,,0.2,0.0,0.0,0.0,20.0,35.0,7.44,9.0,8.0,30.0,1.0,9.0,3.0,1.91
14,29,井口和朋,3300,5.4,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,3.6,3.0,3.0,6.0,0.0,3.0,0.0,5.4
15,31,ジェームス・マーベル,2500,2.49,8.0,2.0,2.0,,0.5,0.0,0.0,0.0,0.0,12.0,4.98,9.0,6.0,21.0,1.0,9.0,1.0,3.74
16,33,立野和明,1600,6.0,4.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,10.5,4.0,4.0,10.0,2.0,1.0,0.0,1.5
