,背番号,名前,年俸,打率,試合数,打席数,打数,安打,二塁打,三塁打,本塁打,塁打数,得点,打点,三振,四球,死球,盗塁,出塁率,長打率,OPS,三振率
0,0,小深田大翔,5000,0.258,134.0,549.0,477.0,123.0,8.0,6.0,5.0,158.0,67.0,37.0,83.0,48.0,3.0,36.0,0.329,0.331,0.66,0.151
1,2,太田光,3300,0.243,104.0,233.0,173.0,42.0,6.0,0.0,3.0,57.0,19.0,14.0,47.0,27.0,4.0,1.0,0.356,0.329,0.686,0.202
2,3,浅村栄斗,50000,0.274,143.0,601.0,522.0,143.0,20.0,0.0,26.0,241.0,64.0,78.0,108.0,75.0,3.0,2.0,0.368,0.462,0.829,0.18
3,4,阿部寿樹,6500,0.255,78.0,253.0,216.0,55.0,17.0,1.0,4.0,86.0,16.0,24.0,47.0,27.0,2.0,0.0,0.34,0.398,0.738,0.186
4,5,茂木栄五郎,7400,0.083,8.0,15.0,12.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.267,0.083,0.35,0.2
5,6,西川遥輝,7000,0.181,35.0,87.0,72.0,13.0,2.0,1.0,1.0,20.0,11.0,4.0,24.0,11.0,0.0,2.0,0.286,0.278,0.563,0.276
6,7,鈴木大地,20000,0.244,101.0,292.0,250.0,61.0,9.0,1.0,5.0,87.0,25.0,27.0,36.0,24.0,9.0,0.0,0.33,0.348,0.678,0.123
7,8,辰己涼介,5300,0.263,133.0,495.0,434.0,114.0,16.0,5.0,9.0,167.0,45.0,43.0,99.0,40.0,12.0,13.0,0.341,0.385,0.726,0.2
8,9,吉野創士,920,,,,,,,,,,,,,,,,,,,
9,022,水上桂,450,,,,,,,,,,,,,,,,,,,
10,23,フランコ,10000,0.221,95.0,334.0,312.0,69.0,11.0,0.0,12.0,116.0,31.0,32.0,52.0,21.0,1.0,0.0,0.272,0.372,0.644,0.156
11,24,黒川史陽,780,0.091,9.0,24.0,22.0,2.0,0.0,0.0,1.0,5.0,1.0,2.0,5.0,0.0,0.0,0.0,0.087,0.227,0.314,0.208
12,25,田中和基,2000,0.088,95.0,41.0,34.0,3.0,0.0,0.0,2.0,9.0,22.0,3.0,13.0,5.0,0.0,3.0,0.205,0.265,0.47,0.317
13,26,炭谷銀仁朗,10000,0.221,65.0,145.0,131.0,29.0,2.0,0.0,1.0,34.0,9.0,10.0,23.0,5.0,2.0,0.0,0.259,0.26,0.519,0.159
14,27,岡島豪郎,4200,0.266,114.0,410.0,361.0,96.0,20.0,0.0,6.0,134.0,33.0,43.0,67.0,33.0,3.0,3.0,0.327,0.371,0.698,0.163
15,30,平良竜哉,920,,,,,,,,,,,,,,,,,,,
16,33,銀次,7000,0.1,6.0,10.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.1,0.1,0.2,0.1
17,34,山崎剛,1900,0.203,117.0,307.0,261.0,53.0,6.0,5.0,2.0,75.0,29.0,19.0,58.0,35.0,3.0,13.0,0.303,0.287,0.591,0.189
18,35,島内宏明,12000,0.236,104.0,369.0,322.0,76.0,13.0,0.0,7.0,110.0,21.0,38.0,41.0,41.0,3.0,2.0,0.325,0.342,0.667,0.111
19,36,前田銀治,550,,,,,,,,,,,,,,,,,,,
20,39,伊藤裕季也,850,0.245,87.0,216.0,188.0,46.0,6.0,1.0,5.0,69.0,20.0,16.0,48.0,15.0,1.0,3.0,0.301,0.367,0.668,0.222
21,42,ギッテンス,10300,,,,,,,,,,,,,,,,,,,
22,44,田中貴也,830,,,,,,,,,,,,,,,,,,,
23,48,渡邊佳明,1450,0.143,25.0,57.0,49.0,7.0,0.0,0.0,0.0,7.0,3.0,3.0,7.0,5.0,0.0,0.0,0.222,0.143,0.365,0.123
24,50,武藤敦貴,860,,,,,,,,,,,,,,,,,,,
25,51,小郷裕哉,850,0.262,120.0,441.0,390.0,102.0,16.0,3.0,10.0,154.0,53.0,49.0,85.0,36.0,1.0,13.0,0.321,0.395,0.716,0.193
26,54,和田恋,690,0.2,2.0,6.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.167,0.2,0.367,0.5
27,55,安田悠馬,1100,0.218,53.0,127.0,110.0,24.0,2.0,0.0,3.0,35.0,7.0,7.0,25.0,16.0,1.0,0.0,0.323,0.318,0.641,0.197
28,61,横尾俊建,1050,,,,,,,,,,,,,,,,,,,
29,63,入江大樹,550,,,,,,,,,,,,,,,,,,,
30,65,堀内謙伍,730,0.5,3.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.667,0.5,1.167,0.0
31,66,村林一輝,1000,0.256,98.0,340.0,301.0,77.0,14.0,2.0,2.0,101.0,35.0,32.0,55.0,21.0,4.0,11.0,0.311,0.336,0.647,0.162
32,67,正隨優弥,750,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0
33,70,石原彪,500,,,,,,,,,,,,,,,,,,,
34,78,辰見鴻之介,250,,,,,,,,,,,,,,,,,,,
35,131,永田颯太郎,250,,,,,,,,,,,,,,,,,,,
36,137,江川侑斗,230,,,,,,,,,,,,,,,,,,,
37,138,ウレーニャ,990,,,,,,,,,,,,,,,,,,,
38,141,澤野聖悠,230,,,,,,,,,,,,,,,,,,,
39,142,柳澤大空,250,,,,,,,,,,,,,,,,,,,
40,144,大河原翔,230,,,,,,,,,,,,,,,,,,,
