,背番号,名前,年俸,防御率,試合数,勝利,敗戦,投球回数,勝率,完投,完封,セーブ,ホールド,奪三振,奪三振率,失点,自責点,被安打,被本塁打,与四球,与死球,与四球率
0,1,松井裕樹,25000,1.57,59.0,2.0,3.0,,0.4,0.0,0.0,39.0,8.0,72.0,11.3,14.0,10.0,38.0,3.0,13.0,0.0,2.04
1,001,佐藤智輝,460,,,,,,,,,,,,,,,,,,,
2,004,引地秀一郎,420,,,,,,,,,,,,,,,,,,,
3,007,福森耀真,420,,,,,,,,,,,,,,,,,,,
4,11,岸孝之,25000,3.07,20.0,9.0,5.0,,0.643,1.0,1.0,0.0,0.0,76.0,5.68,44.0,41.0,123.0,10.0,20.0,3.0,1.5
5,13,バニュエロス,10000,81.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,2.0,0.0,27.0
6,14,則本昂大,30000,2.61,24.0,8.0,8.0,155.0,0.5,0.0,0.0,0.0,0.0,111.0,6.45,57.0,45.0,134.0,7.0,44.0,1.0,2.55
7,17,塩見貴洋,2700,9.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,4.0,4.0,4.0,2.0,1.0,0.0,2.25
8,017,王彦程,300,,,,,,,,,,,,,,,,,,,
9,18,田中将大,47500,4.91,24.0,7.0,11.0,,0.389,0.0,0.0,0.0,0.0,81.0,5.23,79.0,76.0,156.0,15.0,38.0,5.0,2.45
10,19,荘司康誠,1600,3.36,19.0,5.0,3.0,,0.625,0.0,0.0,0.0,0.0,93.0,7.63,43.0,41.0,90.0,6.0,48.0,5.0,3.94
11,20,安樂智大,3700,3.04,57.0,3.0,2.0,,0.6,0.0,0.0,0.0,10.0,32.0,6.08,16.0,16.0,48.0,2.0,18.0,8.0,3.42
12,21,早川隆久,3300,3.44,17.0,6.0,7.0,,0.462,0.0,0.0,0.0,0.0,78.0,7.26,42.0,37.0,102.0,13.0,27.0,2.0,2.51
13,22,小孫竜二,1200,9.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,6.75,4.0,4.0,4.0,0.0,6.0,0.0,13.5
14,28,酒居知史,5600,2.98,47.0,5.0,3.0,,0.625,0.0,0.0,1.0,20.0,30.0,6.38,17.0,14.0,36.0,1.0,25.0,0.0,5.31
15,29,高田孝一,1000,1.86,7.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,6.0,5.59,4.0,2.0,14.0,0.0,2.0,0.0,1.86
16,31,渡辺翔太,1000,2.4,51.0,8.0,3.0,,0.727,0.0,0.0,1.0,25.0,41.0,7.58,15.0,13.0,30.0,1.0,20.0,2.0,3.7
17,38,弓削隼人,1000,5.59,12.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,5.0,4.66,7.0,6.0,12.0,1.0,4.0,2.0,3.72
18,40,内間拓馬,750,,,,,,,,,,,,,,,,,,,
19,41,伊藤茉央,820,3.27,25.0,1.0,0.0,22.0,1.0,0.0,0.0,0.0,3.0,9.0,3.68,11.0,8.0,18.0,1.0,14.0,3.0,5.73
20,43,宋家豪,10000,2.89,49.0,2.0,1.0,,0.667,0.0,0.0,0.0,16.0,35.0,6.75,16.0,15.0,41.0,5.0,11.0,0.0,2.12
