,背番号,名前,年俸,打率,試合数,打席数,打数,安打,二塁打,三塁打,本塁打,塁打数,得点,打点,三振,四球,死球,盗塁,出塁率,長打率,OPS,三振率
0,0,児玉亮涼,1000,0.221,56.0,132.0,122.0,27.0,3.0,2.0,0.0,34.0,11.0,8.0,30.0,4.0,0.0,2.0,0.244,0.279,0.523,0.227
1,1,栗山巧,17900,0.217,77.0,191.0,157.0,34.0,4.0,0.0,7.0,59.0,17.0,19.0,32.0,31.0,1.0,1.0,0.346,0.376,0.721,0.168
2,2,岡田雅利,3000,,,,,,,,,,,,,,,,,,,
3,3,山川穂高,27000,0.254,17.0,62.0,59.0,15.0,4.0,0.0,0.0,19.0,3.0,5.0,17.0,3.0,0.0,0.0,0.29,0.322,0.612,0.274
4,4,山野辺翔,1070,0.205,35.0,43.0,39.0,8.0,1.0,0.0,0.0,9.0,4.0,2.0,3.0,1.0,1.0,6.0,0.244,0.231,0.475,0.07
5,5,外崎修汰,16000,0.26,136.0,571.0,503.0,131.0,28.0,3.0,12.0,201.0,60.0,54.0,114.0,56.0,5.0,26.0,0.338,0.4,0.738,0.2
6,6,源田壮亮,30000,0.257,100.0,435.0,397.0,102.0,9.0,4.0,0.0,119.0,30.0,22.0,82.0,26.0,3.0,5.0,0.307,0.3,0.607,0.189
7,7,金子侑司,12600,0.179,47.0,91.0,84.0,15.0,2.0,1.0,0.0,19.0,6.0,2.0,24.0,4.0,1.0,1.0,0.222,0.226,0.448,0.264
8,8,渡部健人,1200,0.214,57.0,209.0,192.0,41.0,13.0,0.0,6.0,72.0,17.0,25.0,63.0,11.0,5.0,2.0,0.273,0.375,0.648,0.301
9,9,蛭間拓哉,1600,0.232,56.0,223.0,198.0,46.0,6.0,0.0,2.0,58.0,17.0,20.0,37.0,14.0,0.0,0.0,0.28,0.293,0.573,0.166
10,10,ペイトン,8000,0.215,57.0,225.0,205.0,44.0,8.0,0.0,5.0,67.0,18.0,22.0,46.0,14.0,1.0,1.0,0.266,0.327,0.593,0.204
