,背番号,名前,年俸,防御率,試合数,勝利,敗戦,投球回数,勝率,完投,完封,セーブ,ホールド,奪三振,奪三振率,失点,自責点,被安打,被本塁打,与四球,与死球,与四球率
0,12,渡邉勇太朗,850,0.82,2.0,1.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,4.0,3.27,1.0,1.0,7.0,0.0,5.0,0.0,4.09
1,13,高橋光成,18000,2.21,23.0,10.0,8.0,155.0,0.556,4.0,2.0,0.0,0.0,120.0,6.97,47.0,38.0,123.0,8.0,47.0,7.0,2.73
2,14,増田達至,30000,5.45,40.0,4.0,4.0,38.0,0.5,0.0,0.0,19.0,6.0,27.0,6.39,24.0,23.0,44.0,5.0,7.0,2.0,1.66
3,15,宮川哲,2500,7.16,4.0,1.0,2.0,,0.333,0.0,0.0,0.0,0.0,9.0,4.96,13.0,13.0,23.0,3.0,13.0,2.0,7.16
4,16,隅田知一郎,2000,3.44,22.0,9.0,10.0,131.0,0.474,2.0,1.0,0.0,0.0,128.0,8.79,52.0,50.0,123.0,11.0,41.0,7.0,2.82
5,17,松本航,6500,3.47,20.0,6.0,8.0,,0.429,1.0,0.0,0.0,0.0,89.0,6.87,48.0,45.0,102.0,14.0,48.0,5.0,3.7
6,19,佐藤隼輔,1600,2.5,47.0,1.0,2.0,,0.333,0.0,0.0,0.0,18.0,27.0,6.13,15.0,11.0,35.0,1.0,16.0,0.0,3.63
7,20,浜屋将太,1000,,,,,,,,,,,,,,,,,,,
8,23,公文克彦,3600,9.64,7.0,1.0,1.0,,0.5,0.0,0.0,0.0,0.0,1.0,1.93,5.0,5.0,7.0,0.0,5.0,0.0,9.64
9,25,平井克典,8000,2.55,54.0,4.0,3.0,53.0,0.571,0.0,0.0,0.0,28.0,29.0,4.92,15.0,15.0,46.0,3.0,22.0,1.0,3.74
10,26,佐々木健,2000,0.87,21.0,0.0,1.0,,0.0,0.0,0.0,0.0,4.0,13.0,5.66,5.0,2.0,14.0,0.0,8.0,1.0,3.48
11,28,森脇亮介,4000,1.95,31.0,2.0,1.0,,0.667,0.0,0.0,3.0,12.0,26.0,8.46,8.0,6.0,22.0,1.0,15.0,0.0,4.88
12,29,青山美夏人,1000,2.96,39.0,0.0,1.0,,0.0,0.0,0.0,3.0,1.0,34.0,6.7,15.0,15.0,32.0,4.0,23.0,0.0,4.53
13,36,山田陽翔,700,,,,,,,,,,,,,,,,,,,
14,40,田村伊知郎,1000,1.52,24.0,2.0,1.0,,0.667,0.0,0.0,1.0,6.0,20.0,7.61,4.0,4.0,14.0,1.0,8.0,0.0,3.04
15,41,井上広輝,540,,,,,,,,,,,,,,,,,,,
16,42,ボー・タカハシ,3500,3.0,28.0,0.0,1.0,36.0,0.0,0.0,0.0,0.0,0.0,27.0,6.75,12.0,12.0,20.0,1.0,19.0,7.0,4.75
17,43,羽田慎之介,600,,,,,,,,,,,,,,,,,,,
18,44,與座海人,3300,3.69,15.0,2.0,6.0,83.0,0.25,1.0,1.0,0.0,0.0,39.0,4.23,38.0,34.0,72.0,9.0,21.0,5.0,2.28
19,45,本田圭佑,3000,1.56,25.0,0.0,1.0,,0.0,0.0,0.0,0.0,2.0,29.0,7.53,7.0,6.0,34.0,2.0,15.0,0.0,3.89
20,47,張奕,1200,9.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,5.4,5.0,5.0,10.0,2.0,1.0,0.0,1.8
21,48,今井達也,4500,2.3,19.0,10.0,5.0,133.0,0.667,2.0,1.0,0.0,0.0,130.0,8.8,38.0,34.0,87.0,11.0,61.0,8.0,4.13
22,54,ティノコ,10000,2.83,38.0,0.0,3.0,35.0,0.0,0.0,0.0,0.0,8.0,29.0,7.46,13.0,11.0,33.0,1.0,20.0,3.0,5.14
23,57,黒田将矢,650,,,,,,,,,,,,,,,,,,,
24,59,大曲錬,800,5.4,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,4.5,8.0,6.0,14.0,0.0,8.0,0.0,7.2
25,61,平良海馬,17000,2.4,23.0,11.0,7.0,150.0,0.611,0.0,0.0,0.0,0.0,153.0,9.18,47.0,40.0,115.0,10.0,55.0,5.0,3.3
26,67,赤上優人,470,,,,,,,,,,,,,,,,,,,
27,69,水上由伸,4000,2.12,23.0,0.0,2.0,17.0,0.0,0.0,0.0,1.0,5.0,13.0,6.88,4.0,4.0,12.0,1.0,14.0,0.0,7.41
28,70,豆田泰志,280,0.59,16.0,0.0,0.0,,0.0,0.0,0.0,1.0,6.0,12.0,7.04,1.0,1.0,8.0,0.0,7.0,1.0,4.11
29,75,エンス,17000,5.17,12.0,1.0,10.0,54.0,0.091,0.0,0.0,0.0,0.0,30.0,5.0,37.0,31.0,53.0,6.0,23.0,5.0,3.83
30,99,ブルックス・クリスキー,4500,1.93,14.0,0.0,0.0,14.0,0.0,0.0,0.0,7.0,2.0,13.0,8.36,3.0,3.0,6.0,1.0,9.0,0.0,5.79
31,111,齊藤大将,500,,,,,,,,,,,,,,,,,,,
32,112,粟津凱士,530,,,,,,,,,,,,,,,,,,,
33,113,伊藤翔,530,,,,,,,,,,,,,,,,,,,
34,114,上間永遠,500,,,,,,,,,,,,,,,,,,,
35,116,ヘレラ,400,,,,,,,,,,,,,,,,,,,
36,120,出井敏博,400,,,,,,,,,,,,,,,,,,,
37,121,三浦大輝,400,,,,,,,,,,,,,,,,,,,
38,128,菅井信也,280,,,,,,,,,,,,,,,,,,,
