,背番号,名前,年俸,打率,試合数,打席数,打数,安打,二塁打,三塁打,本塁打,塁打数,得点,打点,三振,四球,死球,盗塁,出塁率,長打率,OPS,三振率
0,00,山本泰寛,2800,,,,,,,,,,,,,,,,,,,
1,0,木浪聖也,2100,0.267,127.0,470.0,408.0,109.0,22.0,1.0,1.0,136.0,41.0,41.0,103.0,31.0,4.0,0.0,0.32,0.333,0.653,0.219
2,1,森下翔太,1600,0.237,94.0,377.0,333.0,79.0,14.0,1.0,10.0,125.0,42.0,41.0,70.0,29.0,11.0,1.0,0.316,0.375,0.691,0.186
3,2,梅野隆太郎,16000,0.194,72.0,251.0,217.0,42.0,4.0,0.0,1.0,49.0,17.0,19.0,56.0,28.0,2.0,3.0,0.288,0.226,0.514,0.223
4,3,大山悠輔,13000,0.288,143.0,625.0,513.0,148.0,29.0,0.0,19.0,234.0,80.0,78.0,120.0,99.0,5.0,3.0,0.403,0.456,0.859,0.192
5,4,熊谷敬宥,1750,0.333,26.0,9.0,6.0,2.0,0.0,0.0,0.0,2.0,7.0,0.0,2.0,2.0,0.0,3.0,0.5,0.333,0.833,0.222
6,5,近本光司,17000,0.285,129.0,585.0,501.0,143.0,24.0,12.0,8.0,215.0,83.0,54.0,71.0,67.0,12.0,28.0,0.379,0.429,0.809,0.121
7,7,ノイジー,17940,0.24,133.0,516.0,475.0,114.0,13.0,1.0,9.0,156.0,42.0,56.0,85.0,36.0,2.0,0.0,0.295,0.328,0.623,0.165
8,8,佐藤輝明,8500,0.263,132.0,548.0,486.0,128.0,30.0,6.0,24.0,242.0,70.0,92.0,139.0,54.0,4.0,7.0,0.339,0.498,0.837,0.254
9,9,高山俊,2100,,,,,,,,,,,,,,,,,,,
10,12,坂本誠志郎,2800,0.226,84.0,289.0,243.0,55.0,5.0,1.0,0.0,62.0,10.0,21.0,62.0,19.0,4.0,0.0,0.288,0.255,0.543,0.215
11,25,渡邉諒,5000,0.177,59.0,85.0,79.0,14.0,4.0,0.0,2.0,24.0,8.0,10.0,18.0,5.0,0.0,0.0,0.224,0.304,0.527,0.212
12,26,北條史也,1800,,,,,,,,,,,,,,,,,,,
13,32,井上広大,720,0.229,13.0,37.0,35.0,8.0,2.0,1.0,0.0,12.0,3.0,7.0,18.0,2.0,0.0,0.0,0.27,0.343,0.613,0.486
14,33,糸原健斗,8000,0.236,69.0,83.0,72.0,17.0,1.0,0.0,0.0,18.0,1.0,5.0,16.0,9.0,2.0,0.0,0.337,0.25,0.587,0.193
15,38,小幡竜平,1400,0.282,47.0,91.0,78.0,22.0,1.0,1.0,0.0,25.0,12.0,8.0,23.0,8.0,0.0,3.0,0.349,0.321,0.669,0.253
16,39,榮枝裕貴,800,0.333,2.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.333,0.333,0.667,0.25
17,40,井坪陽生,600,,,,,,,,,,,,,,,,,,,
18,43,高濱祐仁,2200,,,,,,,,,,,,,,,,,,,
19,44,戸井零士,500,,,,,,,,,,,,,,,,,,,
20,45,遠藤成,500,,,,,,,,,,,,,,,,,,,
21,51,中野拓夢,7000,0.285,143.0,660.0,575.0,164.0,17.0,5.0,2.0,197.0,80.0,40.0,107.0,57.0,2.0,20.0,0.349,0.343,0.692,0.162
22,53,島田海吏,3000,0.145,101.0,121.0,110.0,16.0,0.0,1.0,1.0,21.0,12.0,6.0,26.0,7.0,3.0,7.0,0.217,0.191,0.408,0.215
23,55,ミエセス,7000,0.222,60.0,143.0,126.0,28.0,3.0,0.0,5.0,46.0,11.0,16.0,45.0,14.0,1.0,0.0,0.301,0.365,0.666,0.315
24,57,長坂拳弥,1000,0.222,10.0,12.0,9.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.222,0.222,0.444,0.25
25,58,前川右京,500,0.255,33.0,107.0,94.0,24.0,3.0,2.0,0.0,31.0,6.0,7.0,25.0,9.0,4.0,0.0,0.346,0.33,0.676,0.234
26,59,藤田健斗,500,,,,,,,,,,,,,,,,,,,
27,60,小野寺暖,820,0.347,43.0,83.0,75.0,26.0,2.0,2.0,0.0,32.0,8.0,11.0,12.0,7.0,0.0,0.0,0.402,0.427,0.829,0.145
28,61,豊田寛,800,,,,,,,,,,,,,,,,,,,
29,62,植田海,1800,0.0,28.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,4.0,0.5,0.0,0.5,0.0
30,63,板山祐太郎,1000,0.059,12.0,17.0,17.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.059,0.059,0.118,0.412
31,67,高寺望夢,600,,,,,,,,,,,,,,,,,,,
32,68,中川勇斗,460,,,,,,,,,,,,,,,,,,,
33,94,原口文仁,3100,0.192,54.0,56.0,52.0,10.0,1.0,0.0,2.0,17.0,2.0,8.0,18.0,3.0,1.0,0.0,0.25,0.327,0.577,0.321
34,95,片山雄哉,450,,,,,,,,,,,,,,,,,,,
35,121,野口恭佑,300,,,,,,,,,,,,,,,,,,,
