,背番号,名前,年俸,防御率,試合数,勝利,敗戦,投球回数,勝率,完投,完封,セーブ,ホールド,奪三振,奪三振率,失点,自責点,被安打,被本塁打,与四球,与死球,与四球率
0,13,岩崎優,20000,1.77,60.0,3.0,3.0,56.0,0.5,0.0,0.0,35.0,12.0,62.0,9.96,13.0,11.0,32.0,3.0,14.0,2.0,2.25
1,14,岩貞祐太,10000,2.7,50.0,1.0,0.0,,1.0,0.0,0.0,0.0,24.0,30.0,6.23,15.0,13.0,36.0,2.0,12.0,2.0,2.49
2,15,西純矢,2800,3.86,17.0,5.0,2.0,,0.714,1.0,0.0,0.0,0.0,45.0,5.6,33.0,31.0,79.0,9.0,28.0,3.0,3.48
3,16,西勇輝,30000,3.57,18.0,8.0,5.0,,0.615,2.0,1.0,0.0,0.0,56.0,4.65,47.0,43.0,106.0,8.0,24.0,8.0,1.99
4,17,青柳晃洋,24000,4.57,18.0,8.0,6.0,,0.571,0.0,0.0,0.0,0.0,64.0,5.74,54.0,51.0,102.0,6.0,38.0,9.0,3.41
5,18,馬場皐輔,2950,2.45,19.0,2.0,1.0,22.0,0.667,0.0,0.0,0.0,3.0,22.0,9.0,8.0,6.0,17.0,2.0,8.0,0.0,3.27
6,20,森木大智,1200,,,,,,,,,,,,,,,,,,,
7,21,秋山拓巳,8800,7.45,2.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,7.0,6.52,8.0,8.0,16.0,1.0,1.0,0.0,0.93
8,27,伊藤将司,8000,2.39,21.0,10.0,5.0,,0.667,3.0,2.0,0.0,0.0,91.0,5.58,40.0,39.0,120.0,8.0,21.0,4.0,1.29
9,28,鈴木勇斗,1100,,,,,,,,,,,,,,,,,,,
10,29,高橋遥人,2450,,,,,,,,,,,,,,,,,,,
11,30,門別啓人,720,3.38,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,5.0,5.62,3.0,3.0,13.0,0.0,1.0,0.0,1.12
12,34,二保旭,2025,,,,,,,,,,,,,,,,,,,
13,35,才木浩人,1900,1.82,19.0,8.0,5.0,,0.615,1.0,1.0,0.0,1.0,107.0,8.12,29.0,24.0,88.0,8.0,36.0,2.0,2.73
14,36,浜地真澄,3200,5.86,30.0,3.0,1.0,,0.75,0.0,0.0,0.0,6.0,23.0,7.48,18.0,18.0,32.0,6.0,6.0,0.0,1.95
15,37,及川雅貴,1500,2.23,33.0,3.0,1.0,,0.75,0.0,0.0,0.0,7.0,40.0,9.91,10.0,9.0,28.0,2.0,14.0,2.0,3.47
16,41,村上頌樹,750,1.75,22.0,10.0,6.0,,0.625,2.0,1.0,0.0,1.0,137.0,8.54,30.0,28.0,92.0,9.0,15.0,1.0,0.94
17,42,カイル・ケラー,18240,1.71,27.0,1.0,0.0,,1.0,0.0,0.0,1.0,8.0,28.0,9.57,7.0,5.0,22.0,1.0,16.0,1.0,5.47
18,46,島本浩也,2300,1.69,35.0,4.0,2.0,,0.667,0.0,0.0,0.0,15.0,20.0,6.75,6.0,5.0,19.0,0.0,3.0,1.0,1.01
19,47,桐敷拓馬,1100,1.79,27.0,2.0,0.0,,1.0,0.0,0.0,0.0,14.0,40.0,8.93,10.0,8.0,28.0,1.0,12.0,0.0,2.68
20,48,茨木秀俊,500,,,,,,,,,,,,,,,,,,,
21,49,大竹耕太郎,2000,2.26,21.0,12.0,2.0,,0.857,1.0,1.0,0.0,0.0,82.0,5.61,36.0,33.0,122.0,10.0,12.0,3.0,0.82
22,50,富田蓮,750,4.5,9.0,1.0,2.0,16.0,0.333,0.0,0.0,0.0,0.0,10.0,5.62,11.0,8.0,14.0,2.0,5.0,0.0,2.81
23,54,加治屋蓮,3000,2.56,51.0,1.0,5.0,,0.167,0.0,0.0,1.0,16.0,32.0,7.45,12.0,11.0,34.0,3.0,13.0,2.0,3.03
24,56,小林慶祐,1700,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
25,64,岡留英貴,720,1.29,8.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,6.0,7.71,1.0,1.0,5.0,0.0,1.0,0.0,1.29
26,65,湯浅京己,4700,4.4,15.0,0.0,2.0,,0.0,0.0,0.0,8.0,3.0,15.0,9.42,8.0,7.0,15.0,3.0,8.0,0.0,5.02
27,66,小川一平,1300,,,,,,,,,,,,,,,,,,,
28,69,石井大智,1250,1.35,44.0,1.0,1.0,40.0,0.5,0.0,0.0,0.0,19.0,29.0,6.53,8.0,6.0,43.0,2.0,8.0,1.0,1.8
29,92,渡邉雄大,1600,,,,,,,,,,,,,,,,,,,
30,93,岩田将貴,440,,,,,,,,,,,,,,,,,,,
31,98,コルテン・ブルワー,4900,2.38,13.0,0.0,1.0,,0.0,0.0,0.0,0.0,2.0,14.0,11.12,5.0,3.0,6.0,1.0,6.0,0.0,4.76
32,99,ビーズリー,10880,2.2,18.0,1.0,2.0,41.0,0.333,0.0,0.0,0.0,0.0,43.0,9.44,12.0,10.0,35.0,1.0,13.0,1.0,2.85
33,124,望月惇志,600,,,,,,,,,,,,,,,,,,,
34,125,伊藤稜,300,,,,,,,,,,,,,,,,,,,
35,127,川原陸,420,,,,,,,,,,,,,,,,,,,
36,130,佐藤蓮,600,,,,,,,,,,,,,,,,,,,
