ID,Year,Season,HomeTeam,VisitorTeam,Matchday,GameCD,League,Ranking,TeamCD,ShortName_Team,Game,Win,Lose,Draw,WinningPercentage,GameBehind,GameBehindTop,Run,PointLost,Homerun,StolenBase,BattingAverage,EarnedRunAverage,RestGame,Winner_Magic,POLastRanking,RankShiftF,UpdatedAt,CreatedAt
31923,2022,,,,20221003,,Central,1,2,ヤクルト,143,80,59,4,0.57553,-,-,619,566,174,69,.250,3.52,0,0,,0,2022-10-03T11:59:42.000Z,2022-10-03T11:59:42.000Z
31924,2022,,,,20221003,,Central,2,3,DeNA,143,73,68,2,0.51773,8,8,497,534,117,49,.251,3.48,0,-1,,0,2022-10-03T11:59:42.000Z,2022-10-03T11:59:42.000Z
31925,2022,,,,20221003,,Central,3,5,阪神,143,68,71,4,0.48920,4,12,489,428,84,110,.243,2.67,0,-1,,0,2022-10-03T11:59:42.000Z,2022-10-03T11:59:42.000Z
31926,2022,,,,20221003,,Central,4,1,巨人,143,68,72,3,0.48571,0.5,12.5,548,589,163,64,.242,3.69,0,-1,,0,2022-10-03T11:59:42.000Z,2022-10-03T11:59:42.000Z
31927,2022,,,,20221003,,Central,5,6,広島,143,66,74,3,0.47142,2,14.5,552,544,91,26,.257,3.54,0,-1,,0,2022-10-03T11:59:42.000Z,2022-10-03T11:59:42.000Z
31928,2022,,,,20221003,,Central,6,4,中日,143,66,75,2,0.46808,0.5,15,414,495,62,66,.247,3.28,0,-1,,0,2022-10-03T11:59:42.000Z,2022-10-03T11:59:42.000Z
31929,2022,,,,20221003,,Pacific,1,11,オリックス,143,76,65,2,0.53900,-,-,490,458,89,62,.246,2.84,0,0,,0,2022-10-03T12:28:10.000Z,2022-10-03T12:28:10.000Z
31930,2022,,,,20221003,,Pacific,2,12,ソフトバンク,143,76,65,2,0.53900,0,0,555,471,108,86,.255,3.07,0,-1,,0,2022-10-03T12:28:10.000Z,2022-10-03T12:28:10.000Z
31931,2022,,,,20221003,,Pacific,3,7,西武,143,72,68,3,0.51428,3.5,3.5,464,448,118,60,.229,2.75,0,-1,,0,2022-10-03T12:28:10.000Z,2022-10-03T12:28:10.000Z
31932,2022,,,,20221003,,Pacific,4,376,楽天,143,69,71,3,0.49285,3,6.5,533,522,101,97,.243,3.47,0,-1,,0,2022-10-03T12:28:10.000Z,2022-10-03T12:28:10.000Z
31933,2022,,,,20221003,,Pacific,5,9,ロッテ,143,69,73,1,0.48591,1,7.5,501,536,97,132,.231,3.39,0,-1,,0,2022-10-03T12:28:10.000Z,2022-10-03T12:28:10.000Z
31934,2022,,,,20221003,,Pacific,6,8,日本ハム,143,59,81,3,0.42142,9,16.5,463,534,100,95,.234,3.46,0,-1,,0,2022-10-03T12:28:10.000Z,2022-10-03T12:28:10.000Z
